Time	CellId	RNTI	BWPId	StreamId	SINR(dB)
0.0357455	2	2	0	0	70.2037
0.035808	2	2	0	0	70.2037
0.0358527	2	2	0	0	70.2037
0.0427679	2	2	0	0	70.2037
0.0549464	2	2	0	0	70.2037
0.0575089	2	2	0	0	70.2037
0.0601964	2	2	0	0	70.2037
0.0659554	2	2	0	0	70.2037
0.0782634	2	2	0	0	70.2037
0.0906964	2	2	0	0	70.2037
0.0936339	2	2	0	0	70.2037
0.0978259	2	2	0	0	70.2037
0.100759	2	2	0	0	70.2037
0.109826	2	2	0	0	70.2037
0.122196	2	2	0	0	70.2037
0.125759	2	2	0	0	70.2037
0.172371	2	4	0	0	69.4106
0.172402	2	4	0	0	69.4106
0.17246	2	4	0	0	69.4106
0.225696	2	2	0	0	70.2037
0.229196	2	2	0	0	70.2037
0.239196	2	2	0	0	70.2037
0.243201	2	2	0	0	70.2037
0.246946	2	2	0	0	70.2037
0.249638	2	2	0	0	70.2037
0.255643	2	2	0	0	70.2037
0.266509	2	2	0	0	70.2037
0.269821	2	2	0	0	70.2037
0.273201	2	2	0	0	70.2037
0.276638	2	2	0	0	70.2037
0.280076	2	2	0	0	70.2037
0.285701	2	2	0	0	70.2037
0.288701	2	2	0	0	70.2037
0.291638	2	2	0	0	70.2037
0.294884	2	2	0	0	70.2037
0.303384	2	2	0	0	70.2037
0.308451	2	2	0	0	70.2037
0.320884	2	2	0	0	70.2037
0.324571	2	2	0	0	70.2037
0.332321	2	4	0	0	69.4106
0.358571	2	4	0	0	69.4106
0.384821	2	4	0	0	69.4106
0.411009	2	4	0	0	69.4106
0.424701	2	2	0	0	70.2037
0.437138	2	2	0	0	70.2037
0.437259	2	4	0	0	69.4106
0.449571	2	2	0	0	70.2037
0.457134	2	2	0	0	70.2037
0.460638	2	2	0	0	70.2037
0.463509	2	4	0	0	69.4106
0.465759	2	2	0	0	70.2037
0.469384	2	2	0	0	70.2037
0.482076	2	2	0	0	70.2037
0.489134	2	2	0	0	70.2037
0.489696	2	4	0	0	69.4106
0.499388	2	2	0	0	70.2037
0.506076	2	2	0	0	70.2037
0.515946	2	4	0	0	69.4106
0.517884	2	2	0	0	70.2037
0.522388	2	2	0	0	70.2037
0.525446	2	2	0	0	70.2037
0.528138	2	2	0	0	70.2037
0.532446	2	2	0	0	70.2037
0.536884	2	2	0	0	70.2037
0.539509	2	2	0	0	70.2037
0.542196	2	4	0	0	69.4106
0.545955	2	2	0	0	70.2037
0.552821	2	2	0	0	70.2037
0.552884	2	2	0	0	70.2037
0.568384	2	4	0	0	69.4106
0.594634	2	4	0	0	69.4106
