% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.0319375	1	0	7	2	3	2	1	1	12	0	15	1	0	0	84
0.032	1	0	7	2	3	2	2	1	12	0	14	1	0	0	84
0.0320625	1	0	7	2	3	2	3	1	12	0	13	1	0	0	84
0.032125	1	0	7	2	3	2	4	1	7	0	12	1	0	0	47
0.0321875	1	0	7	2	3	2	5	1	2	0	11	1	0	0	11
0.03225	1	0	7	2	3	2	6	1	2	0	15	1	0	0	11
0.0323125	1	0	7	2	3	2	7	1	1	0	14	1	0	28	247
0.035375	1	0	7	2	3	5	8	1	1	0	15	1	0	28	247
0.042125	1	0	7	2	4	2	4	1	2	0	15	1	0	28	497
0.054625	1	0	7	2	5	4	12	1	1	0	15	1	0	28	247
0.0571875	1	0	7	2	5	7	5	1	1	0	15	1	0	28	247
0.0598125	1	0	7	2	5	9	15	1	1	0	15	1	0	28	247
0.065375	1	0	7	2	6	5	8	1	2	0	15	1	0	28	497
0.077875	1	0	7	2	7	8	0	1	1	0	15	1	0	28	247
0.090375	1	0	7	2	9	0	8	1	1	0	15	1	0	28	247
0.0933125	1	0	7	2	9	3	7	1	1	0	15	1	0	28	247
0.0974375	1	0	7	2	9	7	9	1	1	0	15	1	0	28	247
0.100437	1	0	7	2	10	0	9	1	1	0	15	1	0	28	247
0.109437	1	0	7	2	10	9	9	1	1	0	15	1	0	28	247
0.121875	1	0	7	2	12	2	0	1	1	0	15	1	0	28	247
0.125375	1	0	7	2	12	5	8	1	1	0	15	1	0	28	247
0.172063	1	0	5	4	17	2	3	1	7	0	15	1	0	0	47
0.172125	1	0	5	4	17	2	4	1	2	0	14	1	0	0	11
0.172187	1	0	5	4	17	2	5	1	2	0	13	1	0	0	11
0.17225	1	0	5	4	17	2	6	1	2	0	12	1	0	0	11
0.172313	1	0	5	4	17	2	7	1	2	0	11	1	0	0	11
0.172375	1	0	5	4	17	2	8	1	2	0	15	1	0	0	11
0.172437	1	0	5	4	17	2	9	1	1	0	14	1	0	28	247
0.225375	1	0	7	2	22	5	8	1	1	0	15	1	0	28	247
0.228875	1	0	7	2	22	9	0	1	1	0	15	1	0	28	247
0.238875	1	0	7	2	23	9	0	1	1	0	15	1	0	28	247
0.242812	1	0	7	2	24	2	15	1	1	0	15	1	0	28	247
0.246625	1	0	7	2	24	6	12	1	1	0	15	1	0	28	247
0.249188	1	0	7	2	24	9	5	1	1	0	15	1	0	28	247
0.255	1	0	7	2	25	5	2	1	2	0	15	1	0	28	497
0.266125	1	0	7	2	26	6	4	1	1	0	15	1	0	28	247
0.269437	1	0	7	2	26	9	9	1	1	0	15	1	0	28	247
0.272813	1	0	7	2	27	2	15	1	1	0	15	1	0	28	247
0.27625	1	0	7	2	27	6	6	1	1	0	15	1	0	28	247
0.2795	1	0	7	2	27	9	10	1	1	0	15	1	0	28	247
0.285375	1	0	7	2	28	5	8	1	1	0	15	1	0	28	247
0.28825	1	0	7	2	28	8	6	1	1	0	15	1	0	28	247
0.291125	1	0	7	2	29	1	4	1	1	0	15	1	0	28	247
0.2945	1	0	7	2	29	4	10	1	1	0	15	1	0	28	247
0.303125	1	0	7	2	30	3	4	1	1	0	15	1	0	28	247
0.308063	1	0	7	2	30	8	3	1	1	0	15	1	0	28	247
0.3205	1	0	7	2	32	0	10	1	1	0	15	1	0	28	247
0.32425	1	0	7	2	32	4	6	1	1	0	15	1	0	28	247
0.332062	1	0	5	4	33	2	3	1	1	0	15	1	0	28	247
