time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.0324259	2	2	3	280	0.000493057
0.0356089	2	2	3	88	0.00026303
0.0423634	2	2	3	280	0.000253648
0.0548589	2	2	3	89	0.000281272
0.0574214	2	2	3	85	0.000252589
0.0600464	2	2	3	112	0.000252344
0.0656134	2	2	3	249	0.000254711
0.0781089	2	2	3	122	0.000271583
0.0906089	2	2	3	103	0.000274775
0.0935464	2	2	3	73	0.000249108
0.0976714	2	2	3	120	0.0002585
0.100671	2	2	3	87	0.000238376
0.109671	2	2	3	136	0.000286773
0.122109	2	2	3	71	0.000235193
0.125609	2	2	3	107	0.000259452
0.172363	2	4	3	45	0.000349431
0.225609	2	2	3	93	0.000261804
0.229109	2	2	3	74	0.000252775
0.239109	2	2	3	84	0.000281725
0.243046	2	2	3	129	0.000243799
0.246859	2	2	3	90	0.000279789
0.249421	2	2	3	159	0.000263379
0.255238	2	2	3	279	0.000265994
0.266359	2	2	3	107	0.000235091
0.269671	2	2	3	108	0.000256295
0.273046	2	2	3	120	0.000253888
0.276484	2	2	3	132	0.000267542
0.279734	2	2	3	229	0.000255244
0.285609	2	2	3	121	0.000289319
0.288484	2	2	3	154	0.000260766
0.291359	2	2	3	223	0.000294001
0.294734	2	2	3	111	0.000239793
0.303359	2	2	3	75	0.000286065
0.308296	2	2	3	128	0.00029329
0.320734	2	2	3	104	0.000234822
0.324484	2	2	3	73	0.000242543
0.332296	2	4	3	70	0.000278267
