time(s)	cellId	rnti	lcid	packetSize
0.0355366	2	2	3	88
0.0425907	2	2	3	280
0.0547698	2	2	3	89
0.057355	2	2	3	85
0.060021	2	2	3	112
0.0657928	2	2	3	249
0.0780794	2	2	3	122
0.0905475	2	2	3	103
0.0934653	2	2	3	73
0.097652	2	2	3	120
0.100622	2	2	3	87
0.109648	2	2	3	136
0.122039	2	2	3	71
0.125569	2	2	3	107
0.17214	2	4	3	45
0.225545	2	2	3	93
0.229026	2	2	3	74
0.239012	2	2	3	84
0.243055	2	2	3	129
0.246773	2	2	3	90
0.249456	2	2	3	159
0.255452	2	2	3	279
0.266343	2	2	3	107
0.269636	2	2	3	108
0.273032	2	2	3	120
0.276474	2	2	3	132
0.279883	2	2	3	229
0.28556	2	2	3	121
0.288514	2	2	3	154
0.29146	2	2	3	223
0.29472	2	2	3	111
0.303244	2	2	3	75
0.308254	2	2	3	128
0.320714	2	2	3	104
0.324409	2	2	3	73
0.332182	2	4	3	70
0.358411	2	4	3	70
0.384641	2	4	3	70
0.41087	2	4	3	70
0.424514	2	2	3	135
0.436992	2	2	3	122
0.4371	2	4	3	70
0.449418	2	2	3	78
0.456962	2	2	3	83
0.460459	2	2	3	130
0.463329	2	4	3	70
0.465584	2	2	3	70
0.46922	2	2	3	74
0.481909	2	2	3	187
0.488945	2	2	3	88
0.489559	2	4	3	70
0.499228	2	2	3	152
0.505875	2	2	3	145
0.515788	2	4	3	70
0.51774	2	2	3	100
0.522194	2	2	3	150
0.525283	2	2	3	108
0.527983	2	2	3	132
0.532251	2	2	3	90
0.536711	2	2	3	95
0.539356	2	2	3	71
0.542018	2	4	3	70
0.545809	2	2	3	280
0.552679	2	2	3	116
0.568247	2	4	3	70
0.594477	2	4	3	70
