time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.0322205	2	2	3	81	0.000283031
0.032283	2	2	3	81	0.000283031
0.0323455	2	2	3	81	0.000283031
0.0323857	2	2	3	44	0.000260711
0.0324259	2	2	3	3	0.000238391
0.0356089	2	2	3	90	0.000233927
0.0423634	2	2	3	282	0.000238391
0.0548589	2	2	3	91	0.000233927
0.0574214	2	2	3	87	0.000233927
0.0600464	2	2	3	114	0.000233927
0.0656134	2	2	3	251	0.000238391
0.0781089	2	2	3	124	0.000233927
0.0906089	2	2	3	105	0.000233927
0.0935464	2	2	3	75	0.000233927
0.0976714	2	2	3	122	0.000233927
0.100671	2	2	3	89	0.000233927
0.109671	2	2	3	138	0.000233927
0.122109	2	2	3	73	0.000233927
0.125609	2	2	3	109	0.000233927
0.172323	2	4	3	44	0.000260711
0.172363	2	4	3	5	0.000238391
0.225609	2	2	3	95	0.000233927
0.229109	2	2	3	76	0.000233927
0.239109	2	2	3	86	0.000233927
0.243046	2	2	3	131	0.000233927
0.246859	2	2	3	92	0.000233927
0.249421	2	2	3	161	0.000233927
0.255238	2	2	3	281	0.000238391
0.266359	2	2	3	109	0.000233927
0.269671	2	2	3	110	0.000233927
0.273046	2	2	3	122	0.000233927
0.276484	2	2	3	134	0.000233927
0.279734	2	2	3	231	0.000233927
0.285609	2	2	3	123	0.000233927
0.288484	2	2	3	156	0.000233927
0.291359	2	2	3	225	0.000233927
0.294734	2	2	3	113	0.000233927
0.303359	2	2	3	77	0.000233927
0.308296	2	2	3	130	0.000233927
0.320734	2	2	3	106	0.000233927
0.324484	2	2	3	75	0.000233927
0.332296	2	4	3	72	0.000233927
