time(s)	cellId	rnti	lcid	packetSize
0.0319375	2	2	3	81
0.032	2	2	3	81
0.0320625	2	2	3	81
0.032125	2	2	3	44
0.0321875	2	2	3	3
0.035375	2	2	3	90
0.042125	2	2	3	282
0.054625	2	2	3	91
0.0571875	2	2	3	87
0.0598125	2	2	3	114
0.065375	2	2	3	251
0.077875	2	2	3	124
0.090375	2	2	3	105
0.0933125	2	2	3	75
0.0974375	2	2	3	122
0.100437	2	2	3	89
0.109437	2	2	3	138
0.121875	2	2	3	73
0.125375	2	2	3	109
0.172063	2	4	3	44
0.172125	2	4	3	5
0.225375	2	2	3	95
0.228875	2	2	3	76
0.238875	2	2	3	86
0.242812	2	2	3	131
0.246625	2	2	3	92
0.249188	2	2	3	161
0.255	2	2	3	281
0.266125	2	2	3	109
0.269437	2	2	3	110
0.272813	2	2	3	122
0.27625	2	2	3	134
0.2795	2	2	3	231
0.285375	2	2	3	123
0.28825	2	2	3	156
0.291125	2	2	3	225
0.2945	2	2	3	113
0.303125	2	2	3	77
0.308063	2	2	3	130
0.3205	2	2	3	106
0.32425	2	2	3	75
0.332062	2	4	3	72
