% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
3.00019	1	0	4	5	300	0	7	4	8	0	15	1	0	0	25
3.00025	1	0	8	1	300	0	8	1	6	0	15	1	0	0	18
3.00025	1	0	4	5	300	0	8	7	6	0	14	1	0	0	18
3.00031	1	0	8	1	300	0	9	1	6	0	14	1	0	0	18
3.00031	1	0	4	5	300	0	9	7	6	0	13	1	0	0	18
3.00038	1	0	8	1	300	0	10	1	6	0	13	1	0	0	18
3.00038	1	0	4	5	300	0	10	7	6	0	12	1	0	0	18
3.00044	1	0	8	1	300	0	11	1	6	0	12	1	0	0	18
3.00044	1	0	4	5	300	0	11	7	6	0	11	1	0	0	18
3.0005	1	0	8	1	300	0	12	4	8	0	11	1	0	0	25
3.0005	1	0	4	5	300	0	12	12	1	0	15	1	0	28	118
3.00056	1	0	8	1	300	0	13	12	1	0	15	1	0	28	118
3.00062	1	0	4	5	300	0	14	12	1	0	14	1	0	28	118
3.00069	1	0	8	1	300	0	15	11	1	0	14	1	0	28	118
3.00069	1	0	4	5	300	0	15	12	1	0	13	1	0	28	118
3.00075	1	0	8	1	300	1	0	11	1	0	13	1	0	28	118
3.00075	1	0	4	5	300	1	0	12	1	0	12	1	0	28	118
3.00081	1	0	8	1	300	1	1	11	1	0	12	1	0	28	118
3.00081	1	0	4	5	300	1	1	12	1	0	15	1	0	28	118
3.00088	1	0	8	1	300	1	2	11	1	0	15	1	0	28	118
3.00088	1	0	4	5	300	1	2	12	1	0	11	1	0	28	118
3.00094	1	0	8	1	300	1	3	12	1	0	11	1	0	28	118
3.03575	1	0	2	7	303	6	0	5	8	0	15	1	0	0	25
3.03581	1	0	3	6	303	6	1	1	6	0	15	1	0	0	18
3.03581	1	0	2	7	303	6	1	7	6	0	14	1	0	0	18
3.03587	1	0	3	6	303	6	2	1	6	0	14	1	0	0	18
3.03587	1	0	2	7	303	6	2	7	6	0	13	1	0	0	18
3.03594	1	0	3	6	303	6	3	1	6	0	13	1	0	0	18
3.03594	1	0	2	7	303	6	3	7	6	0	12	1	0	0	18
3.036	1	0	3	6	303	6	4	1	6	0	12	1	0	0	18
3.036	1	0	2	7	303	6	4	7	6	0	11	1	0	0	18
3.03606	1	0	3	6	303	6	5	4	8	0	11	1	0	0	25
3.03606	1	0	2	7	303	6	5	12	1	0	15	1	0	28	118
3.03613	1	0	3	6	303	6	6	12	1	0	15	1	0	28	118
3.03619	1	0	2	7	303	6	7	12	1	0	14	1	0	28	118
3.03625	1	0	2	7	303	6	8	11	1	0	13	1	0	28	118
3.03631	1	0	3	6	303	6	9	11	1	0	14	1	0	28	118
3.03631	1	0	2	7	303	6	9	12	1	0	12	1	0	28	118
3.03638	1	0	3	6	303	6	10	10	1	0	13	1	0	28	118
3.03638	1	0	2	7	303	6	10	11	1	0	15	1	0	28	118
3.03644	1	0	3	6	303	6	11	11	1	0	15	1	0	28	118
3.03644	1	0	2	7	303	6	11	12	1	0	11	1	0	28	118
3.0365	1	0	3	6	303	6	12	12	1	0	12	1	0	28	118
3.03963	1	0	6	3	303	9	14	5	8	0	15	1	0	0	25
3.03969	1	0	6	3	303	9	15	5	8	0	14	1	0	0	25
3.03975	1	0	6	3	304	0	0	5	8	0	13	1	0	0	25
3.03981	1	0	6	3	304	0	1	5	8	0	12	1	0	0	25
3.03987	1	0	6	3	304	0	2	5	8	0	11	1	0	0	25
3.03994	1	0	6	3	304	0	3	12	1	0	15	1	0	28	118
3.04006	1	0	6	3	304	0	5	12	1	0	14	1	0	28	118
3.04013	1	0	6	3	304	0	6	12	1	0	13	1	0	28	118
3.04019	1	0	6	3	304	0	7	11	1	0	12	1	0	28	118
3.07163	1	0	4	5	307	1	14	12	1	0	15	1	0	28	118
3.07181	1	0	8	1	307	2	1	12	1	0	15	1	0	28	118
3.07206	1	0	4	5	307	2	5	9	4	0	15	1	0	28	482
3.07225	1	0	8	1	307	2	8	12	1	0	15	1	0	28	118
3.10719	1	0	2	7	310	7	7	12	1	0	15	1	0	28	118
3.10731	1	0	3	6	310	7	9	12	1	0	15	1	0	28	118
3.10763	1	0	2	7	310	7	14	11	1	0	15	1	0	28	118
3.10775	1	0	3	6	310	8	0	12	1	0	15	1	0	28	118
3.10806	1	0	2	7	310	8	5	12	1	0	15	1	0	28	118
3.10819	1	0	3	6	310	8	7	12	1	0	15	1	0	28	118
3.12175	1	0	6	3	312	2	0	12	1	0	15	1	0	28	118
3.14356	1	0	8	1	314	3	13	12	1	0	15	1	0	28	118
3.14369	1	0	4	5	314	3	15	12	1	0	15	1	0	28	118
3.144	1	0	8	1	314	4	4	11	1	0	15	1	0	28	118
3.14419	1	0	4	5	314	4	7	12	1	0	15	1	0	28	118
3.14444	1	0	8	1	314	4	11	12	1	0	15	1	0	28	118
3.14463	1	0	4	5	314	4	14	12	1	0	15	1	0	28	118
3.14506	1	0	4	5	314	5	5	12	1	0	15	1	0	28	118
3.14675	1	0	6	3	314	7	0	12	1	0	15	1	0	28	118
3.17575	1	0	6	3	317	6	0	12	1	0	15	1	0	28	118
3.17831	1	0	2	7	317	8	9	11	1	0	15	1	0	28	118
3.17844	1	0	3	6	317	8	11	12	1	0	15	1	0	28	118
3.17875	1	0	2	7	317	9	0	12	1	0	15	1	0	28	118
3.17888	1	0	3	6	317	9	2	12	1	0	15	1	0	28	118
3.17919	1	0	2	7	317	9	7	12	1	0	15	1	0	28	118
3.17931	1	0	3	6	317	9	9	12	1	0	15	1	0	28	118
3.17963	1	0	2	7	317	9	14	12	1	0	15	1	0	28	118
3.17975	1	0	3	6	318	0	0	12	1	0	15	1	0	28	118
3.18006	1	0	2	7	318	0	5	12	1	0	15	1	0	28	118
3.18019	1	0	3	6	318	0	7	11	1	0	15	1	0	28	118
3.1805	1	0	2	7	318	0	12	12	1	0	15	1	0	28	118
3.18063	1	0	3	6	318	0	14	12	1	0	15	1	0	28	118
3.20381	1	0	6	3	320	4	1	12	1	0	15	1	0	28	118
3.21475	1	0	8	1	321	5	0	12	1	0	15	1	0	28	118
3.21513	1	0	4	5	321	5	6	12	1	0	15	1	0	28	118
3.21525	1	0	8	1	321	5	8	12	1	0	15	1	0	28	118
3.21563	1	0	4	5	321	5	14	12	1	0	15	1	0	28	118
3.21569	1	0	8	1	321	5	15	12	1	0	15	1	0	28	118
3.21606	1	0	4	5	321	6	5	12	1	0	15	1	0	28	118
3.21612	1	0	8	1	321	6	6	12	1	0	15	1	0	28	118
3.21644	1	0	4	5	321	6	11	12	1	0	15	1	0	28	118
3.21656	1	0	8	1	321	6	13	12	1	0	15	1	0	28	118
3.21687	1	0	4	5	321	7	2	12	1	0	15	1	0	28	118
3.21731	1	0	4	5	321	7	9	12	1	0	15	1	0	28	118
3.21769	1	0	4	5	321	7	15	12	1	0	15	1	0	28	118
3.21813	1	0	4	5	321	8	6	12	1	0	15	1	0	28	118
3.22275	1	0	6	3	322	3	0	12	1	0	15	1	0	28	118
3.24944	1	0	2	7	324	9	11	12	1	0	15	1	0	28	118
3.24956	1	0	3	6	324	9	13	12	1	0	15	1	0	28	118
3.24987	1	0	2	7	325	0	2	12	1	0	15	1	0	28	118
3.25	1	0	3	6	325	0	4	12	1	0	15	1	0	28	118
3.25031	1	0	2	7	325	0	9	12	1	0	15	1	0	28	118
3.25044	1	0	3	6	325	0	11	12	1	0	15	1	0	28	118
3.25075	1	0	2	7	325	1	0	12	1	0	15	1	0	28	118
3.25088	1	0	3	6	325	1	2	12	1	0	15	1	0	28	118
3.25119	1	0	2	7	325	1	7	12	1	0	15	1	0	28	118
3.25131	1	0	3	6	325	1	9	12	1	0	15	1	0	28	118
3.25163	1	0	2	7	325	1	14	12	1	0	15	1	0	28	118
3.25175	1	0	3	6	325	2	0	12	1	0	15	1	0	28	118
3.25206	1	0	2	7	325	2	5	11	2	0	15	1	0	28	239
3.25219	1	0	3	6	325	2	7	12	1	0	15	1	0	28	118
3.2525	1	0	2	7	325	2	12	12	1	0	15	1	0	28	118
3.25263	1	0	3	6	325	2	14	11	1	0	15	1	0	28	118
3.25294	1	0	2	7	325	3	3	12	1	0	15	1	0	28	118
3.25306	1	0	3	6	325	3	5	12	1	0	15	1	0	28	118
3.2535	1	0	3	6	325	3	12	12	1	0	15	1	0	28	118
3.25375	1	0	6	3	325	4	0	12	1	0	15	1	0	28	118
3.28075	1	0	6	3	328	1	0	12	1	0	15	1	0	28	118
3.28656	1	0	4	5	328	6	13	12	1	0	15	1	0	28	118
3.287	1	0	4	5	328	7	4	12	1	0	15	1	0	28	118
3.28744	1	0	4	5	328	7	11	11	1	0	15	1	0	28	118
3.28781	1	0	4	5	328	8	1	12	1	0	15	1	0	28	118
3.28794	1	0	8	1	328	8	3	12	1	0	15	1	0	28	118
3.28831	1	0	4	5	328	8	9	11	1	0	15	1	0	28	118
3.28837	1	0	8	1	328	8	10	12	1	0	15	1	0	28	118
3.28881	1	0	8	1	328	9	1	11	1	0	15	1	0	28	118
3.28881	1	0	4	5	328	9	1	12	1	0	15	1	0	28	118
3.28925	1	0	8	1	328	9	8	12	1	0	15	1	0	28	118
3.28931	1	0	4	5	328	9	9	12	1	0	15	1	0	28	118
3.28969	1	0	8	1	328	9	15	12	1	0	15	1	0	28	118
3.28987	1	0	4	5	329	0	2	12	1	0	15	1	0	28	118
3.29013	1	0	8	1	329	0	6	12	1	0	15	1	0	28	118
3.29038	1	0	4	5	329	0	10	12	1	0	15	1	0	28	118
3.29056	1	0	8	1	329	0	13	11	2	0	15	1	0	28	239
3.29088	1	0	4	5	329	1	2	12	1	0	15	1	0	28	118
3.29094	1	0	8	1	329	1	3	12	1	0	15	1	0	28	118
3.29125	1	0	4	5	329	1	8	11	1	0	15	1	0	28	118
3.29137	1	0	8	1	329	1	10	11	1	0	15	1	0	28	118
3.29169	1	0	4	5	329	1	15	12	1	0	15	1	0	28	118
3.29212	1	0	4	5	329	2	6	12	1	0	15	1	0	28	118
3.2925	1	0	4	5	329	2	12	12	1	0	15	1	0	28	118
3.29294	1	0	4	5	329	3	3	12	1	0	15	1	0	28	118
3.30575	1	0	6	3	330	6	0	12	1	0	15	1	0	28	118
3.32056	1	0	2	7	332	0	13	12	1	0	15	1	0	28	118
3.32069	1	0	3	6	332	0	15	12	1	0	15	1	0	28	118
3.321	1	0	2	7	332	1	4	12	1	0	15	1	0	28	118
3.32112	1	0	3	6	332	1	6	12	1	0	15	1	0	28	118
3.32144	1	0	2	7	332	1	11	12	1	0	15	1	0	28	118
3.32156	1	0	3	6	332	1	13	12	1	0	15	1	0	28	118
3.32187	1	0	2	7	332	2	2	12	1	0	15	1	0	28	118
3.322	1	0	3	6	332	2	4	12	1	0	15	1	0	28	118
3.32231	1	0	2	7	332	2	9	12	1	0	15	1	0	28	118
3.32244	1	0	3	6	332	2	11	11	1	0	15	1	0	28	118
3.32275	1	0	2	7	332	3	0	12	1	0	15	1	0	28	118
3.32287	1	0	3	6	332	3	2	12	1	0	15	1	0	28	118
3.32319	1	0	2	7	332	3	7	11	2	0	15	1	0	28	239
3.32331	1	0	3	6	332	3	9	11	1	0	15	1	0	28	118
3.32362	1	0	2	7	332	3	14	11	1	0	15	1	0	28	118
3.32375	1	0	3	6	332	4	0	12	1	0	15	1	0	28	118
3.32406	1	0	2	7	332	4	5	12	1	0	15	1	0	28	118
3.32419	1	0	3	6	332	4	7	11	2	0	15	1	0	28	239
3.3245	1	0	2	7	332	4	12	12	1	0	15	1	0	28	118
3.32463	1	0	3	6	332	4	14	12	1	0	15	1	0	28	118
3.32494	1	0	2	7	332	5	3	12	1	0	15	1	0	28	118
3.32506	1	0	3	6	332	5	5	12	1	0	15	1	0	28	118
3.32538	1	0	2	7	332	5	10	12	1	0	15	1	0	28	118
3.3255	1	0	3	6	332	5	12	12	1	0	15	1	0	28	118
3.32581	1	0	2	7	332	6	1	12	1	0	15	1	0	28	118
3.32594	1	0	3	6	332	6	3	12	1	0	15	1	0	28	118
3.32625	1	0	2	7	332	6	8	11	1	0	15	1	0	28	118
3.32638	1	0	3	6	332	6	10	11	1	0	15	1	0	28	118
3.32669	1	0	2	7	332	6	15	12	1	0	15	1	0	28	118
3.32681	1	0	3	6	332	7	1	12	1	0	15	1	0	28	118
3.32713	1	0	2	7	332	7	6	11	2	0	15	1	0	28	239
3.32725	1	0	3	6	332	7	8	12	1	0	15	1	0	28	118
3.32756	1	0	2	7	332	7	13	12	1	0	15	1	0	28	118
3.32769	1	0	3	6	332	7	15	12	1	0	15	1	0	28	118
3.32812	1	0	3	6	332	8	6	12	1	0	15	1	0	28	118
3.33375	1	0	6	3	333	4	0	12	1	0	15	1	0	28	118
3.358	1	0	4	5	335	8	4	12	1	0	15	1	0	28	118
3.35844	1	0	4	5	335	8	11	12	1	0	15	1	0	28	118
3.35887	1	0	4	5	335	9	2	12	1	0	15	1	0	28	118
3.35931	1	0	4	5	335	9	9	12	1	0	15	1	0	28	118
3.35938	1	0	8	1	335	9	10	12	1	0	15	1	0	28	118
3.35969	1	0	4	5	335	9	15	12	1	0	15	1	0	28	118
3.35981	1	0	8	1	336	0	1	12	1	0	15	1	0	28	118
3.36006	1	0	4	5	336	0	5	12	1	0	15	1	0	28	118
3.36056	1	0	4	5	336	0	13	12	1	0	15	1	0	28	118
3.361	1	0	4	5	336	1	4	12	1	0	15	1	0	28	118
3.3615	1	0	4	5	336	1	12	12	1	0	15	1	0	28	118
3.36194	1	0	4	5	336	2	3	12	1	0	15	1	0	28	118
3.3625	1	0	4	5	336	2	12	12	1	0	15	1	0	28	118
3.363	1	0	4	5	336	3	4	12	1	0	15	1	0	28	118
3.36338	1	0	4	5	336	3	10	12	1	0	15	1	0	28	118
3.36388	1	0	4	5	336	4	2	12	1	0	15	1	0	28	118
3.36431	1	0	4	5	336	4	9	12	1	0	15	1	0	28	118
3.36456	1	0	6	3	336	4	13	12	1	0	15	1	0	28	118
3.36481	1	0	4	5	336	5	1	12	1	0	15	1	0	28	118
3.36531	1	0	4	5	336	5	9	12	1	0	15	1	0	28	118
3.36581	1	0	4	5	336	6	1	12	1	0	15	1	0	28	118
3.36638	1	0	4	5	336	6	10	11	1	0	15	1	0	28	118
3.36681	1	0	4	5	336	7	1	12	1	0	15	1	0	28	118
3.36719	1	0	4	5	336	7	7	12	1	0	15	1	0	28	118
3.36762	1	0	4	5	336	7	14	11	1	0	15	1	0	28	118
3.36806	1	0	4	5	336	8	5	12	1	0	15	1	0	28	118
3.36844	1	0	4	5	336	8	11	12	1	0	15	1	0	28	118
3.36888	1	0	4	5	336	9	2	12	1	0	15	1	0	28	118
3.36931	1	0	4	5	336	9	9	12	1	0	15	1	0	28	118
3.36969	1	0	4	5	336	9	15	12	1	0	15	1	0	28	118
3.37012	1	0	4	5	337	0	6	12	1	0	15	1	0	28	118
3.37056	1	0	4	5	337	0	13	12	1	0	15	1	0	28	118
3.37094	1	0	4	5	337	1	3	12	1	0	15	1	0	28	118
3.37138	1	0	4	5	337	1	10	11	1	0	15	1	0	28	118
3.37675	1	0	6	3	337	7	0	12	1	0	15	1	0	28	118
3.39169	1	0	2	7	339	1	15	12	1	0	15	1	0	28	118
3.39181	1	0	3	6	339	2	1	12	1	0	15	1	0	28	118
3.39213	1	0	2	7	339	2	6	12	1	0	15	1	0	28	118
3.39225	1	0	3	6	339	2	8	12	1	0	15	1	0	28	118
3.39256	1	0	2	7	339	2	13	12	1	0	15	1	0	28	118
3.39269	1	0	3	6	339	2	15	12	1	0	15	1	0	28	118
3.393	1	0	2	7	339	3	4	12	1	0	15	1	0	28	118
3.39312	1	0	3	6	339	3	6	12	1	0	15	1	0	28	118
3.39344	1	0	2	7	339	3	11	12	1	0	15	1	0	28	118
3.39356	1	0	3	6	339	3	13	12	1	0	15	1	0	28	118
3.39387	1	0	2	7	339	4	2	11	2	0	15	1	0	28	239
3.394	1	0	3	6	339	4	4	11	1	0	15	1	0	28	118
3.39431	1	0	2	7	339	4	9	12	1	0	15	1	0	28	118
3.39444	1	0	3	6	339	4	11	12	1	0	15	1	0	28	118
3.39475	1	0	2	7	339	5	0	12	1	0	15	1	0	28	118
3.39487	1	0	3	6	339	5	2	12	1	0	15	1	0	28	118
3.39519	1	0	2	7	339	5	7	11	1	0	15	1	0	28	118
3.39531	1	0	3	6	339	5	9	11	2	0	15	1	0	28	239
3.39562	1	0	2	7	339	5	14	12	1	0	15	1	0	28	118
3.39575	1	0	3	6	339	6	0	12	1	0	15	1	0	28	118
3.39606	1	0	2	7	339	6	5	12	1	0	15	1	0	28	118
3.39619	1	0	3	6	339	6	7	12	1	0	15	1	0	28	118
3.3965	1	0	2	7	339	6	12	12	1	0	15	1	0	28	118
3.39662	1	0	3	6	339	6	14	12	1	0	15	1	0	28	118
3.39694	1	0	2	7	339	7	3	12	1	0	15	1	0	28	118
3.39706	1	0	3	6	339	7	5	12	1	0	15	1	0	28	118
3.39737	1	0	2	7	339	7	10	12	1	0	15	1	0	28	118
3.3975	1	0	3	6	339	7	12	12	1	0	15	1	0	28	118
3.39781	1	0	2	7	339	8	1	12	1	0	15	1	0	28	118
3.39794	1	0	3	6	339	8	3	12	1	0	15	1	0	28	118
3.39825	1	0	2	7	339	8	8	11	2	0	15	1	0	28	239
3.39838	1	0	3	6	339	8	10	12	1	0	15	1	0	28	118
3.39869	1	0	2	7	339	8	15	12	1	0	15	1	0	28	118
3.39881	1	0	3	6	339	9	1	12	1	0	15	1	0	28	118
3.39913	1	0	2	7	339	9	6	12	1	0	15	1	0	28	118
3.39925	1	0	3	6	339	9	8	12	1	0	15	1	0	28	118
3.39956	1	0	2	7	339	9	13	12	1	0	15	1	0	28	118
3.39969	1	0	3	6	339	9	15	12	1	0	15	1	0	28	118
3.4	1	0	2	7	340	0	4	12	1	0	15	1	0	28	118
3.40013	1	0	3	6	340	0	6	11	2	0	15	1	0	28	239
3.40044	1	0	2	7	340	0	11	11	2	0	15	1	0	28	239
3.4005	1	0	3	6	340	0	12	12	1	0	15	1	0	28	118
3.40094	1	0	3	6	340	1	3	11	1	0	15	1	0	28	118
3.40094	1	0	2	7	340	1	3	12	1	0	15	1	0	28	118
3.40137	1	0	3	6	340	1	10	10	1	0	15	1	0	28	118
3.40137	1	0	2	7	340	1	10	11	1	0	15	1	0	28	118
3.40181	1	0	3	6	340	2	1	11	1	0	15	1	0	28	118
3.40181	1	0	2	7	340	2	1	12	1	0	15	1	0	28	118
