time(s)	cellId	rnti	lcid	packetSize	delay(s)
3.00078	2	5	3	58	0.000783031
3.00083	2	1	3	58	0.000827675
3.0132	2	6	3	58	0.000767856
3.01322	2	7	3	58	0.00079464
3.01716	2	3	3	58	0.00079464
3.02584	2	1	3	54	0.000593748
3.02584	2	1	3	82	0.000593747
3.02585	2	5	3	54	0.00060714
3.02628	2	5	3	404	0.00104464
3.03822	2	6	3	54	0.000602676
3.03822	2	6	3	54	0.000526784
3.03822	2	6	3	54	0.000352676
3.03841	2	7	3	54	0.000602676
3.03841	2	7	3	54	0.000415176
3.03866	2	6	3	54	0.000602676
3.03866	2	6	3	54	0.000401784
3.03885	2	7	3	54	0.000602676
3.03885	2	7	3	54	0.000415176
3.03885	2	7	3	54	0.000343748
3.05097	2	1	3	54	0.000665176
3.05097	2	1	3	54	0.000531248
3.05097	2	1	3	54	0.000477676
3.05097	2	1	3	54	0.000352676
3.0514	2	1	3	54	0.000714284
3.05141	2	5	3	54	0.000602676
3.05141	2	5	3	54	0.000477676
3.05141	2	5	3	54	0.000343748
3.05141	2	5	3	54	0.000290176
3.05185	2	5	3	54	0.000602676
3.06322	2	6	3	54	0.000602676
3.06322	2	6	3	54	0.000468748
3.06322	2	6	3	54	0.000415176
3.06322	2	6	3	54	0.000290176
3.06366	2	6	3	54	0.000656248
3.06372	2	7	3	54	0.000598212
3.06372	2	7	3	54	0.000464284
3.06372	2	7	3	54	0.000410712
3.06403	2	6	3	54	0.000598212
3.06403	2	6	3	54	0.000526784
3.06403	2	6	3	54	0.000410712
3.06403	2	6	3	54	0.000285712
3.0644	2	7	3	54	0.000598212
3.0644	2	7	3	54	0.000473212
3.0644	2	7	3	54	0.000339284
3.0644	2	7	3	54	0.000285712
3.06485	2	7	3	54	0.000602676
3.06485	2	7	3	54	0.000531248
3.07603	2	1	3	54	0.000602676
3.07603	2	1	3	54	0.000531248
3.07603	2	1	3	54	0.000415176
3.07603	2	1	3	54	0.000281248
3.07641	2	1	3	54	0.000602676
3.07641	2	1	3	54	0.000477676
3.07641	2	1	3	54	0.000406248
3.07678	2	5	3	54	0.000598212
3.07678	2	5	3	54	0.000526784
3.07678	2	5	3	54	0.000410712
3.07678	2	5	3	54	0.000276784
3.07685	2	1	3	82	0.000790176
3.07716	2	5	3	54	0.000602676
3.07716	2	5	3	54	0.000477676
3.07716	2	5	3	54	0.000343748
3.07716	2	5	3	54	0.000290176
3.0776	2	5	3	54	0.000602676
3.0776	2	5	3	54	0.000531248
3.08822	2	6	3	54	0.000602676
3.08822	2	6	3	54	0.000468748
3.08822	2	6	3	54	0.000415176
3.08822	2	6	3	54	0.000290176
3.08866	2	6	3	54	0.000656248
3.08866	2	6	3	54	0.000540176
3.08866	2	6	3	54	0.000406248
3.08866	2	6	3	54	0.000352676
3.08903	2	6	3	54	0.000598212
3.08903	2	6	3	54	0.000526784
3.08922	2	7	3	54	0.000602676
3.08922	2	7	3	54	0.000477676
3.08922	2	7	3	54	0.000406248
3.08922	2	7	3	54	0.000290176
3.08972	2	7	3	54	0.000656248
3.08972	2	7	3	54	0.000602676
3.08985	2	6	3	54	0.000602676
3.08985	2	6	3	54	0.000531248
3.08985	2	6	3	54	0.000415176
3.08985	2	6	3	54	0.000281248
3.09022	2	6	3	54	0.000602676
3.09022	2	6	3	54	0.000477676
3.09022	2	6	3	54	0.000406248
3.09022	2	6	3	54	0.000290176
3.09072	2	7	3	54	0.000656248
3.09072	2	7	3	54	0.000602676
3.09072	2	7	3	54	0.000477676
3.09072	2	7	3	54	0.000343748
3.09116	2	7	3	54	0.000727676
3.09116	2	7	3	54	0.000602676
3.09116	2	7	3	54	0.000531248
3.09116	2	7	3	54	0.000415176
3.0916	2	7	3	54	0.000718748
3.0916	2	7	3	54	0.000665176
3.0916	2	7	3	54	0.000540176
3.0916	2	7	3	54	0.000468748
3.09716	2	3	3	54	0.000611604
3.10185	2	5	3	54	0.000602676
3.10185	2	5	3	54	0.000531248
3.10185	2	5	3	54	0.000415176
3.10185	2	5	3	54	0.000281248
3.10222	2	5	3	54	0.000602676
3.10222	2	5	3	54	0.000477676
3.10222	2	5	3	54	0.000406248
3.10222	2	5	3	54	0.000290176
3.10272	2	1	3	54	0.000656248
3.10272	2	1	3	54	0.000602676
3.10272	2	1	3	54	0.000477676
3.10272	2	1	3	54	0.000406248
3.10316	2	1	3	54	0.000727676
3.10316	2	1	3	54	0.000593748
3.10316	2	1	3	54	0.000540176
3.10316	2	1	3	54	0.000415176
3.1036	2	1	3	54	0.000718748
3.1036	2	1	3	54	0.000665176
3.1036	2	1	3	54	0.000540176
3.1036	2	1	3	54	0.000468748
3.10403	2	1	3	54	0.000785712
3.10403	2	1	3	54	0.000651784
3.10403	2	1	3	54	0.000598212
3.10403	2	1	3	54	0.000473212
3.10403	2	1	3	54	0.000401784
3.1044	2	5	3	54	0.000660712
3.1044	2	5	3	54	0.000526784
3.1044	2	5	3	54	0.000473212
3.1044	2	5	3	54	0.000348212
3.10485	2	5	3	54	0.000718748
3.10485	2	5	3	54	0.000602676
3.10485	2	5	3	54	0.000477676
3.10485	2	5	3	54	0.000406248
3.10528	2	5	3	54	0.000727676
3.10528	2	5	3	54	0.000593748
3.10528	2	5	3	54	0.000540176
3.10528	2	5	3	54	0.000415176
3.11322	2	6	3	54	0.000602676
3.11322	2	6	3	54	0.000468748
3.11322	2	6	3	54	0.000415176
3.11322	2	6	3	54	0.000290176
3.11366	2	6	3	54	0.000656248
3.11366	2	6	3	54	0.000540176
3.11366	2	6	3	54	0.000406248
3.11366	2	6	3	54	0.000352676
3.11403	2	6	3	54	0.000598212
3.11403	2	6	3	54	0.000464284
3.11403	2	6	3	54	0.000410712
3.11403	2	6	3	54	0.000285712
3.11447	2	6	3	54	0.000656248
3.11447	2	6	3	54	0.000540176
3.11447	2	6	3	54	0.000406248
3.11447	2	6	3	54	0.000352676
3.11485	2	6	3	54	0.000602676
3.11485	2	6	3	54	0.000468748
3.11485	2	6	3	54	0.000415176
3.11485	2	6	3	54	0.000290176
3.11522	2	7	3	54	0.000602676
3.11522	2	7	3	54	0.000477676
3.11522	2	7	3	54	0.000343748
3.11522	2	7	3	54	0.000290176
3.11566	2	7	3	54	0.000602676
3.11566	2	7	3	54	0.000531248
3.11566	2	7	3	54	0.000415176
3.11566	2	7	3	54	0.000281248
3.11603	2	7	3	54	0.000602676
3.11603	2	7	3	54	0.000477676
3.11603	2	7	3	54	0.000406248
3.11603	2	7	3	54	0.000290176
3.11647	2	6	3	54	0.000602676
3.11647	2	6	3	54	0.000531248
3.11647	2	6	3	54	0.000415176
3.11647	2	6	3	54	0.000281248
3.11685	2	6	3	54	0.000602676
3.11685	2	6	3	54	0.000477676
3.11685	2	6	3	54	0.000406248
3.11685	2	6	3	54	0.000290176
3.11735	2	6	3	54	0.000656248
3.11735	2	6	3	54	0.000602676
3.11735	2	6	3	54	0.000477676
3.11735	2	6	3	54	0.000406248
3.11778	2	6	3	54	0.000727676
3.11778	2	6	3	54	0.000593748
3.11778	2	6	3	54	0.000540176
3.11778	2	6	3	54	0.000415176
3.11822	2	7	3	54	0.000718748
3.11822	2	7	3	54	0.000665176
3.11822	2	7	3	54	0.000540176
3.11822	2	7	3	54	0.000468748
3.11866	2	7	3	54	0.000790176
3.11866	2	7	3	54	0.000656248
3.11866	2	7	3	54	0.000602676
3.11866	2	7	3	54	0.000477676
3.1191	2	7	3	54	0.000843748
3.1191	2	7	3	54	0.000727676
3.1191	2	7	3	54	0.000593748
3.1191	2	7	3	54	0.000540176
3.11953	2	7	3	54	0.000852676
3.11953	2	7	3	54	0.000781248
3.11953	2	7	3	54	0.000665176
3.11953	2	7	3	54	0.000540176
3.11953	2	7	3	54	0.000468748
3.11997	2	7	3	54	0.000790176
3.11997	2	7	3	54	0.000656248
3.11997	2	7	3	54	0.000602676
3.11997	2	7	3	54	0.000477676
3.12041	2	7	3	54	0.000843748
3.12041	2	7	3	54	0.000727676
3.12041	2	7	3	54	0.000593748
3.12691	2	5	3	54	0.000602676
3.12691	2	5	3	54	0.000531248
3.12691	2	5	3	54	0.000415176
3.12691	2	5	3	54	0.000281248
3.12728	2	5	3	54	0.000602676
3.12728	2	5	3	54	0.000477676
3.12728	2	5	3	54	0.000406248
3.12728	2	5	3	54	0.000290176
3.12778	2	5	3	54	0.000656248
3.12778	2	5	3	54	0.000602676
3.12778	2	5	3	54	0.000477676
3.12778	2	5	3	54	0.000343748
3.12822	2	5	3	54	0.000727676
3.12822	2	5	3	54	0.000602676
3.12822	2	5	3	54	0.000531248
3.12822	2	5	3	54	0.000415176
3.1286	2	1	3	54	0.000656248
3.1286	2	1	3	54	0.000602676
3.1286	2	1	3	54	0.000477676
3.1286	2	1	3	54	0.000406248
3.12903	2	1	3	54	0.000723212
3.12903	2	1	3	54	0.000589284
3.12903	2	1	3	54	0.000535712
3.12903	2	1	3	54	0.000410712
3.12947	2	1	3	54	0.000781248
3.12947	2	1	3	54	0.000665176
3.12947	2	1	3	54	0.000540176
3.12947	2	1	3	54	0.000468748
3.12991	2	1	3	54	0.000790176
3.12991	2	1	3	54	0.000656248
3.12991	2	1	3	54	0.000602676
