time(s)	cellId	rnti	lcid	packetSize
3	2	5	3	58
3	2	1	3	58
3.03556	2	7	3	58
3.03558	2	6	3	58
3.03943	2	3	3	58
3.07143	2	5	3	54
3.07143	2	5	3	404
3.07158	2	1	3	54
3.07158	2	1	3	82
3.10694	2	7	3	54
3.10706	2	7	3	54
3.10709	2	6	3	54
3.10725	2	6	3	54
3.10731	2	7	3	54
3.10744	2	6	3	54
3.1075	2	7	3	54
3.10763	2	6	3	54
3.10769	2	7	3	54
3.10784	2	6	3	54
3.12156	2	3	3	54
3.14334	2	1	3	54
3.14348	2	5	3	54
3.14356	2	1	3	54
3.14378	2	1	3	54
3.14399	2	5	3	54
3.14401	2	1	3	54
3.14413	2	1	3	54
3.14443	2	5	3	54
3.14467	2	5	3	54
3.14492	2	5	3	54
3.14655	2	3	3	54
3.17555	2	3	3	54
3.17806	2	7	3	54
3.17819	2	6	3	54
3.17852	2	7	3	54
3.17856	2	7	3	54
3.17863	2	6	3	54
3.17875	2	7	3	54
3.17881	2	6	3	54
3.179	2	7	3	54
3.17909	2	6	3	54
3.17919	2	6	3	54
3.17925	2	7	3	54
3.17938	2	7	3	54
3.17944	2	6	3	54
3.17956	2	7	3	54
3.17963	2	6	3	54
3.17981	2	7	3	54
3.17984	2	6	3	54
3.18	2	6	3	54
3.20362	2	3	3	54
3.21452	2	1	3	54
3.21456	2	1	3	54
3.21492	2	5	3	54
3.21513	2	1	3	54
3.21535	2	1	3	54
3.21538	2	5	3	54
3.21544	2	1	3	54
3.21569	2	1	3	54
3.21586	2	5	3	54
3.2159	2	1	3	54
3.21607	2	1	3	82
3.21623	2	5	3	54
3.21649	2	5	3	54
3.21673	2	5	3	54
3.21699	2	5	3	54
3.21723	2	5	3	54
3.21748	2	5	3	54
3.21774	2	5	3	54
3.22255	2	3	3	54
3.24921	2	7	3	54
3.24925	2	7	3	54
3.24931	2	6	3	54
3.24946	2	6	3	54
3.24963	2	7	3	54
3.24971	2	7	3	54
3.24975	2	6	3	54
3.24996	2	6	3	54
3.25006	2	7	3	54
3.25015	2	7	3	54
3.25019	2	6	3	54
3.25038	2	7	3	54
3.2504	2	6	3	54
3.25056	2	7	3	54
3.25065	2	6	3	54
