time(s)	cellId	rnti	lcid	packetSize	delay(s)
3.00059	2	5	3	17	0.000274104
3.00063	2	1	3	10	0.000251784
3.00066	2	5	3	10	0.000278568
3.00069	2	1	3	10	0.000251784
3.00072	2	5	3	10	0.000278568
3.00076	2	1	3	10	0.000251784
3.00078	2	5	3	10	0.000278568
3.00082	2	1	3	10	0.000251784
3.00085	2	5	3	10	0.000278568
3.0009	2	1	3	17	0.000274104
3.00091	2	5	3	13	0.000278568
3.00097	2	1	3	13	0.000278568
3.03616	2	7	3	17	0.000278568
3.03619	2	6	3	10	0.000251784
3.03622	2	7	3	10	0.000278568
3.03626	2	6	3	10	0.000251784
3.03628	2	7	3	10	0.000278568
3.03632	2	6	3	10	0.000251784
3.03635	2	7	3	10	0.000278568
3.03638	2	6	3	10	0.000251784
3.03641	2	7	3	10	0.000278568
3.03647	2	6	3	17	0.000274104
3.03647	2	7	3	13	0.000278568
3.03653	2	6	3	13	0.000278568
3.04003	2	3	3	17	0.000278568
3.0401	2	3	3	17	0.000278568
3.04016	2	3	3	17	0.000278568
3.04022	2	3	3	15	0.000278568
3.07203	2	5	3	110	0.000278568
3.07222	2	1	3	110	0.000278568
3.07247	2	5	3	354	0.000278568
3.07266	2	1	3	32	0.000278568
3.1076	2	7	3	110	0.000278568
3.10772	2	6	3	110	0.000278568
3.10803	2	7	3	110	0.000274104
3.10816	2	6	3	110	0.000278568
3.10847	2	7	3	63	0.000278568
3.1086	2	6	3	63	0.000278568
3.12216	2	3	3	56	0.000278568
3.14397	2	1	3	110	0.000278568
3.1441	2	5	3	56	0.000278568
3.1444	2	1	3	110	0.000274104
3.1446	2	5	3	56	0.000278568
3.14485	2	1	3	63	0.000278568
3.14503	2	5	3	110	0.000278568
3.14547	2	5	3	60	0.000278568
3.14716	2	3	3	56	0.000278568
3.17616	2	3	3	56	0.000278568
3.17872	2	7	3	56	0.000274104
3.17885	2	6	3	56	0.000278568
3.17916	2	7	3	110	0.000278568
3.17928	2	6	3	110	0.000278568
3.1796	2	7	3	110	0.000278568
3.17972	2	6	3	110	0.000278568
3.18003	2	7	3	110	0.000278568
3.18016	2	6	3	110	0.000278568
3.18047	2	7	3	110	0.000278568
3.18059	2	6	3	110	0.000274104
3.18091	2	7	3	13	0.000278568
3.18103	2	6	3	13	0.000278568
3.20422	2	3	3	56	0.000278568
3.21516	2	1	3	110	0.000278568
3.21553	2	5	3	56	0.000278568
3.21566	2	1	3	110	0.000278568
3.21603	2	5	3	56	0.000278568
3.2161	2	1	3	110	0.000278568
3.21647	2	5	3	56	0.000278568
3.21653	2	1	3	110	0.000278568
3.21685	2	5	3	110	0.000278568
3.21697	2	1	3	41	0.000278568
3.21728	2	5	3	110	0.000278568
3.21772	2	5	3	63	0.000278568
3.2181	2	5	3	110	0.000278568
3.21853	2	5	3	4	0.000278568
3.22316	2	3	3	56	0.000278568
3.24985	2	7	3	110	0.000278568
3.24997	2	6	3	110	0.000278568
3.25028	2	7	3	110	0.000278568
3.25041	2	6	3	110	0.000278568
3.25072	2	7	3	110	0.000278568
3.25085	2	6	3	110	0.000278568
3.25116	2	7	3	110	0.000278568
3.25128	2	6	3	110	0.000278568
3.2516	2	7	3	110	0.000278568
3.25172	2	6	3	110	0.000278568
3.25203	2	7	3	110	0.000278568
3.25216	2	6	3	110	0.000278568
3.25247	2	7	3	231	0.000278568
