time(s)	cellId	rnti	lcid	packetSize
3.00032	2	5	3	18
3.00038	2	5	3	18
3.00038	2	1	3	18
3.00044	2	5	3	18
3.00044	2	1	3	18
3.0005	2	5	3	12
3.0005	2	1	3	18
3.00057	2	1	3	12
3.01275	2	7	3	18
3.01275	2	6	3	18
3.01282	2	7	3	18
3.01282	2	6	3	18
3.01288	2	7	3	18
3.01288	2	6	3	18
3.01294	2	7	3	12
3.01294	2	6	3	12
3.01669	2	3	3	18
3.01675	2	3	3	18
3.01682	2	3	3	18
3.01688	2	3	3	12
3.02557	2	5	3	239
3.02557	2	1	3	140
3.026	2	5	3	225
3.03794	2	6	3	167
3.03813	2	7	3	112
3.03838	2	6	3	112
3.03857	2	7	3	167
3.05069	2	1	3	239
3.05113	2	5	3	223
3.05113	2	1	3	41
3.05157	2	5	3	56
3.06294	2	6	3	223
3.06338	2	6	3	56
3.06344	2	7	3	167
3.06375	2	6	3	223
3.06413	2	7	3	223
3.06457	2	7	3	112
3.07575	2	1	3	223
3.07613	2	1	3	239
3.0765	2	5	3	223
3.07657	2	1	3	14
3.07688	2	5	3	223
3.07732	2	5	3	112
3.08794	2	6	3	223
3.08838	2	6	3	223
3.08875	2	6	3	112
3.08894	2	7	3	223
3.08944	2	7	3	112
3.08957	2	6	3	223
3.08994	2	6	3	223
3.09044	2	7	3	239
3.09088	2	7	3	239
3.09132	2	7	3	193
3.09688	2	3	3	56
3.10157	2	5	3	223
3.10194	2	5	3	223
3.10244	2	1	3	239
3.10288	2	1	3	239
3.10332	2	1	3	239
3.10375	2	1	3	233
3.10413	2	5	3	239
3.10457	2	5	3	239
3.105	2	5	3	193
3.11294	2	6	3	223
3.11338	2	6	3	223
3.11375	2	6	3	223
3.11419	2	6	3	223
3.11457	2	6	3	223
3.11494	2	7	3	223
3.11538	2	7	3	223
3.11575	2	7	3	223
3.11619	2	6	3	223
3.11657	2	6	3	223
3.11707	2	6	3	239
3.1175	2	6	3	208
3.11794	2	7	3	239
3.11838	2	7	3	239
3.11882	2	7	3	239
3.11925	2	7	3	239
3.11969	2	7	3	239
3.12013	2	7	3	148
3.12663	2	5	3	223
3.127	2	5	3	223
3.1275	2	5	3	239
3.12794	2	5	3	208
3.12832	2	1	3	239
3.12875	2	1	3	239
3.12919	2	1	3	239
3.12963	2	1	3	239
3.13007	2	1	3	239
3.1305	2	1	3	239
3.13094	2	1	3	239
3.13138	2	1	3	229
3.13169	2	5	3	223
3.13207	2	5	3	223
3.1325	2	5	3	223
3.13288	2	5	3	223
3.13325	2	5	3	223
3.13382	2	5	3	223
3.13794	2	6	3	223
3.13838	2	6	3	223
3.13875	2	6	3	223
3.13919	2	6	3	223
3.13957	2	6	3	223
3.13994	2	6	3	223
3.14044	2	6	3	239
3.14088	2	6	3	239
3.14132	2	6	3	239
3.14175	2	6	3	178
3.14207	2	7	3	239
3.1425	2	7	3	239
3.14294	2	7	3	239
3.14338	2	7	3	239
3.14382	2	7	3	239
3.14425	2	7	3	148
3.14444	2	6	3	223
3.14482	2	6	3	223
3.14519	2	6	3	223
3.14569	2	6	3	239
3.14613	2	6	3	239
3.14657	2	6	3	239
3.147	2	6	3	239
3.14744	2	6	3	163
3.14763	2	7	3	223
3.14807	2	7	3	223
3.14844	2	7	3	223
3.14882	2	7	3	223
3.14925	2	7	3	223
3.14963	2	7	3	223
