Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	streamId	rnti	tbSize	mcs	rv	SINR(dB)	CQI	corrupt	TBler
0.0321205	DL	3	2	1	1	12	1	0	0	2	84	0	0	66.7637	15	0	0
0.032183	DL	3	2	2	1	12	1	0	0	2	84	0	0	66.7637	15	0	0
0.0322455	DL	3	2	3	1	12	1	0	0	2	84	0	0	66.7637	15	0	0
0.0322857	DL	3	2	4	1	7	1	0	0	2	47	0	0	66.7637	15	0	0
0.0323259	DL	3	2	5	1	2	1	0	0	2	11	0	0	66.7637	15	0	0
0.0355089	DL	3	5	8	1	1	1	0	0	2	247	28	0	67.3834	15	0	5.701e-14
0.0422634	DL	4	2	4	1	2	1	0	0	2	497	28	0	67.2452	15	0	0
0.0547589	DL	5	4	12	1	1	1	0	0	2	247	28	0	66.508	15	0	5.701e-14
0.0573214	DL	5	7	5	1	1	1	0	0	2	247	28	0	67.3502	15	0	5.701e-14
0.0599464	DL	5	9	15	1	1	1	0	0	2	247	28	0	66.8163	15	0	5.701e-14
0.0655134	DL	6	5	8	1	2	1	0	0	2	497	28	0	65.5508	15	0	0
0.0780089	DL	7	8	0	1	1	1	0	0	2	247	28	0	65.8729	15	0	5.701e-14
0.0905089	DL	9	0	8	1	1	1	0	0	2	247	28	0	66.1146	15	0	5.701e-14
0.0934464	DL	9	3	7	1	1	1	0	0	2	247	28	0	67.2891	15	0	5.701e-14
0.0975714	DL	9	7	9	1	1	1	0	0	2	247	28	0	67.6828	15	0	5.701e-14
0.100571	DL	10	0	9	1	1	1	0	0	2	247	28	0	67.1321	15	0	5.701e-14
0.109571	DL	10	9	9	1	1	1	0	0	2	247	28	0	67.4329	15	0	5.701e-14
0.122009	DL	12	2	0	1	1	1	0	0	2	247	28	0	66.4277	15	0	5.701e-14
0.125509	DL	12	5	8	1	1	1	0	0	2	247	28	0	67.5435	15	0	5.701e-14
0.172223	DL	17	2	3	1	7	1	0	0	4	47	0	0	65.6902	15	0	0
0.172263	DL	17	2	4	1	2	1	0	0	4	11	0	0	65.6902	15	0	0
0.225509	DL	22	5	8	1	1	1	0	0	2	247	28	0	67.2245	15	0	5.701e-14
0.229009	DL	22	9	0	1	1	1	0	0	2	247	28	0	67.3866	15	0	5.701e-14
0.239009	DL	23	9	0	1	1	1	0	0	2	247	28	0	67.1386	15	0	5.701e-14
0.242946	DL	24	2	15	1	1	1	0	0	2	247	28	0	66.7278	15	0	5.701e-14
0.246759	DL	24	6	12	1	1	1	0	0	2	247	28	0	65.8315	15	0	5.701e-14
0.249321	DL	24	9	5	1	1	1	0	0	2	247	28	0	68.2511	15	0	5.701e-14
0.255138	DL	25	5	2	1	2	1	0	0	2	497	28	0	65.5453	15	0	0
0.266259	DL	26	6	4	1	1	1	0	0	2	247	28	0	66.6414	15	0	5.701e-14
0.269571	DL	26	9	9	1	1	1	0	0	2	247	28	0	67.4032	15	0	5.701e-14
0.272946	DL	27	2	15	1	1	1	0	0	2	247	28	0	67.4875	15	0	5.701e-14
0.276384	DL	27	6	6	1	1	1	0	0	2	247	28	0	66.9363	15	0	5.701e-14
0.279634	DL	27	9	10	1	1	1	0	0	2	247	28	0	67.5924	15	0	5.701e-14
0.285509	DL	28	5	8	1	1	1	0	0	2	247	28	0	67.2527	15	0	5.701e-14
0.288384	DL	28	8	6	1	1	1	0	0	2	247	28	0	66.2228	15	0	5.701e-14
0.291259	DL	29	1	4	1	1	1	0	0	2	247	28	0	66.2919	15	0	5.701e-14
0.294634	DL	29	4	10	1	1	1	0	0	2	247	28	0	66.923	15	0	5.701e-14
0.303259	DL	30	3	4	1	1	1	0	0	2	247	28	0	67.7912	15	0	5.701e-14
0.308196	DL	30	8	3	1	1	1	0	0	2	247	28	0	67.3396	15	0	5.701e-14
0.320634	DL	32	0	10	1	1	1	0	0	2	247	28	0	66.4265	15	0	5.701e-14
0.324384	DL	32	4	6	1	1	1	0	0	2	247	28	0	63.5609	15	0	5.701e-14
0.332196	DL	33	2	3	1	1	1	0	0	4	247	28	0	65.5382	15	0	5.701e-14
