Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.0161205	1	0	0	1	0	-81.3827
0.0161205	1	0	0	2	0	-81.4474
0.0161205	1	0	0	3	0	-81.1762
0.0161205	1	0	0	4	0	-81.3384
0.0161205	1	0	0	5	0	-81.1242
0.0161205	1	0	0	6	0	-80.8887
0.0161205	1	0	0	7	0	-80.9761
0.0161205	1	0	0	8	0	-80.9118
0.0165536	1	0	0	3	0	-81.1762
0.0166786	1	0	0	5	0	-81.1242
0.0177411	1	0	0	2	0	-81.4474
0.0179286	1	0	0	6	0	-80.8887
0.0186161	1	0	0	1	0	-81.3827
0.0189286	1	0	0	4	0	-81.3384
0.0193036	1	0	0	7	0	-80.9761
0.0204911	1	0	0	8	0	-80.9118
0.0215536	1	0	0	3	0	-81.1762
0.0216786	1	0	0	5	0	-81.1242
0.0227411	1	0	0	2	0	-81.4474
0.0229286	1	0	0	6	0	-80.8887
0.0236161	1	0	0	1	0	-81.3827
0.0239286	1	0	0	4	0	-81.3384
0.0243036	1	0	0	7	0	-80.9761
0.0254911	1	0	0	8	0	-80.9118
0.0265536	1	0	0	3	0	-81.1762
0.0266786	1	0	0	5	0	-81.1242
0.0277411	1	0	0	2	0	-81.4474
0.0279286	1	0	0	6	0	-80.8887
0.0286161	1	0	0	1	0	-81.3827
0.0289286	1	0	0	4	0	-81.3384
0.0293036	1	0	0	7	0	-80.9761
0.0304911	1	0	0	8	0	-80.9118
0.0315536	1	0	0	3	0	-81.1762
0.0316786	1	0	0	5	0	-81.1242
0.0327411	1	0	0	2	0	-81.4474
0.0329286	1	0	0	6	0	-80.8887
0.0336161	1	0	0	1	0	-81.3827
0.0339286	1	0	0	4	0	-81.3384
0.0343036	1	0	0	7	0	-80.9761
0.0354911	1	0	0	8	0	-80.9118
0.0358705	1	0	0	7	0	-80.9761
0.035933	1	0	0	7	0	-80.9761
0.0359955	1	0	0	7	0	-80.9761
0.036058	1	0	0	7	0	-80.9761
0.0365536	1	0	0	3	0	-81.1762
0.0366786	1	0	0	5	0	-81.1242
0.0377411	1	0	0	2	0	-81.4474
0.0379286	1	0	0	6	0	-80.8887
0.0386161	1	0	0	1	0	-81.3827
0.0389286	1	0	0	4	0	-81.3384
0.0393036	1	0	0	7	0	-80.9761
0.0404911	1	0	0	8	0	-80.9118
0.0415536	1	0	0	3	0	-81.1762
0.0416786	1	0	0	5	0	-81.1242
0.0427411	1	0	0	2	0	-81.4474
0.0429286	1	0	0	6	0	-80.8887
0.042933	1	0	0	7	0	-80.9761
0.0429955	1	0	0	7	0	-80.9761
0.0436161	1	0	0	1	0	-81.3827
0.0439286	1	0	0	4	0	-81.3384
0.0443036	1	0	0	7	0	-80.9761
0.0454911	1	0	0	8	0	-80.9118
0.0465536	1	0	0	3	0	-81.1762
0.0466786	1	0	0	5	0	-81.1242
0.0477411	1	0	0	2	0	-81.4474
0.0479286	1	0	0	6	0	-80.8887
0.0486161	1	0	0	1	0	-81.3827
0.0489286	1	0	0	4	0	-81.3384
