time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.445435	2	1	3	58	0.000422261
0.536484	2	1	3	54	0.000238923
0.538189	2	1	3	590	0.000258089
0.538252	2	1	3	590	0.000270189
0.538314	2	1	3	590	0.000282289
0.538372	2	1	3	446	0.000301445
0.539814	2	1	3	590	0.000283089
0.539877	2	1	3	590	0.000295189
0.539957	2	1	3	590	0.000325145
0.539957	2	1	3	446	0.000286265
0.541462	2	1	3	590	0.000330409
0.541462	2	1	3	590	0.000280009
0.629252	2	1	3	590	0.000296233
0.629314	2	1	3	590	0.000308333
0.629689	2	1	3	590	0.000296233
0.629774	2	1	3	590	0.000330653
0.629774	2	1	3	590	0.000280253
0.629814	2	1	3	590	0.000270033
0.630877	2	1	3	590	0.000296233
0.630962	2	1	3	590	0.000330653
0.630962	2	1	3	590	0.000280253
0.631314	2	1	3	590	0.000296233
0.631399	2	1	3	590	0.000330653
0.631399	2	1	3	590	0.000280253
0.631439	2	1	3	590	0.000270033
0.632502	2	1	3	590	0.000296233
0.632587	2	1	3	590	0.000330653
0.632587	2	1	3	590	0.000280253
0.632627	2	1	3	590	0.000270033
0.720314	2	1	3	590	0.000296233
0.720399	2	1	3	590	0.000330653
0.720399	2	1	3	590	0.000280253
0.720439	2	1	3	590	0.000270033
0.720752	2	1	3	590	0.000296233
0.720837	2	1	3	590	0.000330653
0.720837	2	1	3	590	0.000280253
0.720877	2	1	3	590	0.000270033
0.721189	2	1	3	590	0.000296233
0.721274	2	1	3	590	0.000330653
0.721274	2	1	3	590	0.000280253
0.721314	2	1	3	590	0.000270033
0.721939	2	1	3	590	0.000296233
0.722024	2	1	3	590	0.000330653
0.722024	2	1	3	590	0.000280253
0.722064	2	1	3	590	0.000270033
0.722377	2	1	3	590	0.000296233
0.722462	2	1	3	590	0.000330653
0.722462	2	1	3	590	0.000280253
0.722502	2	1	3	590	0.000270033
0.722564	2	1	3	590	0.000282133
0.722627	2	1	3	590	0.000294233
0.722712	2	1	3	590	0.000328653
0.722712	2	1	3	590	0.000278253
0.722814	2	1	3	590	0.000296233
0.722899	2	1	3	590	0.000330653
0.722899	2	1	3	590	0.000280253
0.722939	2	1	3	590	0.000270033
0.723627	2	1	3	590	0.000296233
0.723712	2	1	3	590	0.000330653
0.723712	2	1	3	590	0.000280253
0.723752	2	1	3	590	0.000270033
0.724064	2	1	3	590	0.000296233
0.724149	2	1	3	590	0.000330653
0.724149	2	1	3	590	0.000280253
0.724189	2	1	3	590	0.000270033
0.811439	2	1	3	590	0.000296233
0.811524	2	1	3	590	0.000330653
0.811524	2	1	3	590	0.000280253
0.811564	2	1	3	590	0.000270033
0.811877	2	1	3	590	0.000296233
0.811962	2	1	3	590	0.000330653
0.811962	2	1	3	590	0.000280253
0.812002	2	1	3	590	0.000270033
0.812064	2	1	3	590	0.000282133
0.812127	2	1	3	590	0.000294233
0.812212	2	1	3	590	0.000328653
0.812212	2	1	3	590	0.000278253
0.812314	2	1	3	590	0.000296233
0.812399	2	1	3	590	0.000330653
0.812399	2	1	3	590	0.000280253
0.812439	2	1	3	590	0.000270033
0.812502	2	1	3	590	0.000282133
0.812564	2	1	3	590	0.000294233
0.812649	2	1	3	590	0.000328653
0.812649	2	1	3	590	0.000278253
0.812752	2	1	3	590	0.000296233
0.812837	2	1	3	590	0.000330653
0.812837	2	1	3	590	0.000280253
0.812877	2	1	3	590	0.000270033
0.812939	2	1	3	590	0.000282133
0.813002	2	1	3	590	0.000294233
0.813087	2	1	3	590	0.000328653
0.813087	2	1	3	590	0.000278253
0.813189	2	1	3	590	0.000296233
0.813274	2	1	3	590	0.000330653
0.813274	2	1	3	590	0.000280253
0.813314	2	1	3	590	0.000270033
0.813377	2	1	3	590	0.000282133
0.813439	2	1	3	590	0.000294233
0.813524	2	1	3	590	0.000328653
0.813524	2	1	3	590	0.000278253
0.813627	2	1	3	590	0.000296233
0.813712	2	1	3	590	0.000330653
0.813712	2	1	3	590	0.000280253
0.813752	2	1	3	590	0.000270033
0.813814	2	1	3	590	0.000282133
0.813877	2	1	3	590	0.000294233
0.813962	2	1	3	590	0.000328653
0.813962	2	1	3	590	0.000278253
0.814064	2	1	3	590	0.000296233
0.814149	2	1	3	590	0.000330653
0.814149	2	1	3	590	0.000280253
0.814189	2	1	3	590	0.000270033
0.814252	2	1	3	590	0.000282133
0.814314	2	1	3	590	0.000294233
0.814399	2	1	3	590	0.000328653
0.814399	2	1	3	590	0.000278253
0.814439	2	1	3	590	0.000268033
0.814502	2	1	3	590	0.000280133
0.814564	2	1	3	590	0.000292233
0.814627	2	1	3	590	0.000304333
0.814752	2	1	3	590	0.000296233
0.814837	2	1	3	590	0.000330653
0.814837	2	1	3	590	0.000280253
0.814877	2	1	3	590	0.000270033
0.815189	2	1	3	590	0.000296233
0.815274	2	1	3	590	0.000330653
0.815274	2	1	3	590	0.000280253
0.815314	2	1	3	590	0.000270033
0.815377	2	1	3	590	0.000282133
0.815439	2	1	3	590	0.000294233
0.815524	2	1	3	590	0.000328653
0.815524	2	1	3	590	0.000278253
0.815627	2	1	3	590	0.000296233
0.815712	2	1	3	590	0.000330653
0.815712	2	1	3	590	0.000280253
0.815752	2	1	3	590	0.000270033
0.902564	2	1	3	590	0.000296233
0.902649	2	1	3	590	0.000330653
0.902649	2	1	3	590	0.000280253
0.902689	2	1	3	590	0.000270033
0.903002	2	1	3	590	0.000296233
0.903087	2	1	3	590	0.000330653
0.903087	2	1	3	590	0.000280253
0.903127	2	1	3	590	0.000270033
0.903189	2	1	3	590	0.000282133
0.903252	2	1	3	590	0.000294233
0.903337	2	1	3	590	0.000328653
0.903337	2	1	3	590	0.000278253
0.903439	2	1	3	590	0.000296233
0.903524	2	1	3	590	0.000330653
0.903524	2	1	3	590	0.000280253
0.903564	2	1	3	590	0.000270033
0.903627	2	1	3	590	0.000282133
0.903689	2	1	3	590	0.000294233
0.903774	2	1	3	590	0.000328653
0.903774	2	1	3	590	0.000278253
0.903814	2	1	3	590	0.000268033
0.903877	2	1	3	590	0.000280133
0.903939	2	1	3	590	0.000292233
0.904024	2	1	3	590	0.000326653
0.904024	2	1	3	590	0.000276253
0.904064	2	1	3	590	0.000266033
0.904127	2	1	3	590	0.000278133
0.904189	2	1	3	590	0.000290233
0.904274	2	1	3	590	0.000324653
0.904274	2	1	3	590	0.000274253
0.904314	2	1	3	590	0.000264033
0.904377	2	1	3	590	0.000276133
0.904439	2	1	3	590	0.000288233
0.904502	2	1	3	590	0.000300333
0.904587	2	1	3	590	0.000334753
0.904587	2	1	3	590	0.000284353
0.904627	2	1	3	590	0.000274133
0.904689	2	1	3	590	0.000286233
0.904752	2	1	3	590	0.000298333
0.904837	2	1	3	590	0.000332753
0.904837	2	1	3	590	0.000282353
0.904877	2	1	3	590	0.000272133
0.904939	2	1	3	590	0.000284233
0.905002	2	1	3	590	0.000296333
0.905082	2	1	3	590	0.000326289
0.905131	2	1	3	590	0.000324997
0.905131	2	1	3	590	0.000274597
0.905189	2	1	3	590	0.000282233
0.905252	2	1	3	590	0.000294333
0.905337	2	1	3	590	0.000328753
0.905337	2	1	3	590	0.000278353
0.905377	2	1	3	590	0.000268133
0.905439	2	1	3	590	0.000280233
0.905502	2	1	3	590	0.000292333
0.905587	2	1	3	590	0.000326753
0.905587	2	1	3	590	0.000276353
0.905627	2	1	3	590	0.000266133
0.905689	2	1	3	590	0.000278233
0.905752	2	1	3	590	0.000290333
0.905837	2	1	3	590	0.000324753
0.905837	2	1	3	590	0.000274353
0.905877	2	1	3	590	0.000264133
0.905939	2	1	3	590	0.000276233
0.906002	2	1	3	590	0.000288333
0.906064	2	1	3	590	0.000300433
0.906149	2	1	3	590	0.000334853
0.906149	2	1	3	590	0.000284453
0.906189	2	1	3	590	0.000274233
0.906252	2	1	3	590	0.000286333
0.906314	2	1	3	590	0.000298433
0.906399	2	1	3	590	0.000332853
0.906399	2	1	3	590	0.000282453
0.906439	2	1	3	590	0.000272233
0.906502	2	1	3	590	0.000284333
0.906564	2	1	3	590	0.000296433
0.906649	2	1	3	590	0.000330853
0.906649	2	1	3	590	0.000280453
0.906689	2	1	3	590	0.000270233
0.906752	2	1	3	590	0.000282333
0.906814	2	1	3	590	0.000294433
0.906899	2	1	3	590	0.000328853
0.906899	2	1	3	590	0.000278453
0.906939	2	1	3	590	0.000268233
0.907002	2	1	3	590	0.000280333
0.907064	2	1	3	590	0.000292433
0.907149	2	1	3	590	0.000326853
0.907149	2	1	3	590	0.000276453
0.907189	2	1	3	590	0.000266233
0.907252	2	1	3	590	0.000278333
0.907314	2	1	3	590	0.000290433
0.907399	2	1	3	590	0.000324853
0.907399	2	1	3	590	0.000274453
0.907439	2	1	3	590	0.000264233
0.907502	2	1	3	590	0.000276333
0.907564	2	1	3	590	0.000288433
0.907627	2	1	3	590	0.000300533
0.907712	2	1	3	590	0.000334953
0.907712	2	1	3	590	0.000284553
0.907752	2	1	3	590	0.000274333
0.907814	2	1	3	590	0.000286433
0.907877	2	1	3	590	0.000298533
0.907962	2	1	3	590	0.000332953
0.907962	2	1	3	590	0.000282553
0.908002	2	1	3	590	0.000272333
0.908064	2	1	3	590	0.000284433
0.908127	2	1	3	590	0.000296533
0.908212	2	1	3	590	0.000330953
0.908212	2	1	3	590	0.000280553
0.908252	2	1	3	590	0.000270333
0.908314	2	1	3	590	0.000282433
0.908377	2	1	3	590	0.000294533
0.908462	2	1	3	590	0.000328953
0.908462	2	1	3	590	0.000278553
0.908502	2	1	3	590	0.000268333
0.908564	2	1	3	590	0.000280433
0.908627	2	1	3	590	0.000292533
0.908712	2	1	3	590	0.000326953
0.908712	2	1	3	590	0.000276553
0.908752	2	1	3	590	0.000266333
0.908814	2	1	3	590	0.000278433
0.908877	2	1	3	590	0.000290533
0.908962	2	1	3	590	0.000324953
0.908962	2	1	3	590	0.000274553
0.909002	2	1	3	590	0.000264333
0.909064	2	1	3	590	0.000276433
0.909127	2	1	3	590	0.000288533
0.909189	2	1	3	590	0.000300633
