time(s)	cellId	rnti	lcid	packetSize
0.445013	2	1	3	58
0.536245	2	1	3	54
0.537931	2	1	3	590
0.537982	2	1	3	590
0.538032	2	1	3	590
0.538071	2	1	3	446
0.539531	2	1	3	590
0.539582	2	1	3	590
0.539632	2	1	3	590
0.539671	2	1	3	446
0.541131	2	1	3	590
0.541182	2	1	3	590
0.628956	2	1	3	590
0.629006	2	1	3	590
0.629393	2	1	3	590
0.629443	2	1	3	590
0.629494	2	1	3	590
0.629544	2	1	3	590
0.630581	2	1	3	590
0.630631	2	1	3	590
0.630681	2	1	3	590
0.631018	2	1	3	590
0.631068	2	1	3	590
0.631119	2	1	3	590
0.631169	2	1	3	590
0.632206	2	1	3	590
0.632256	2	1	3	590
0.632306	2	1	3	590
0.632357	2	1	3	590
0.720018	2	1	3	590
0.720068	2	1	3	590
0.720119	2	1	3	590
0.720169	2	1	3	590
0.720456	2	1	3	590
0.720506	2	1	3	590
0.720556	2	1	3	590
0.720607	2	1	3	590
0.720893	2	1	3	590
0.720943	2	1	3	590
0.720994	2	1	3	590
0.721044	2	1	3	590
0.721643	2	1	3	590
0.721693	2	1	3	590
0.721744	2	1	3	590
0.721794	2	1	3	590
0.722081	2	1	3	590
0.722131	2	1	3	590
0.722181	2	1	3	590
0.722232	2	1	3	590
0.722282	2	1	3	590
0.722333	2	1	3	590
0.722383	2	1	3	590
0.722433	2	1	3	590
0.722518	2	1	3	590
0.722568	2	1	3	590
0.722619	2	1	3	590
0.722669	2	1	3	590
0.723331	2	1	3	590
0.723381	2	1	3	590
0.723431	2	1	3	590
0.723482	2	1	3	590
0.723768	2	1	3	590
0.723818	2	1	3	590
0.723869	2	1	3	590
0.723919	2	1	3	590
0.811143	2	1	3	590
0.811193	2	1	3	590
0.811244	2	1	3	590
0.811294	2	1	3	590
0.811581	2	1	3	590
0.811631	2	1	3	590
0.811681	2	1	3	590
0.811732	2	1	3	590
0.811782	2	1	3	590
0.811833	2	1	3	590
0.811883	2	1	3	590
0.811933	2	1	3	590
0.812018	2	1	3	590
0.812068	2	1	3	590
0.812119	2	1	3	590
0.812169	2	1	3	590
0.81222	2	1	3	590
0.81227	2	1	3	590
0.81232	2	1	3	590
0.812371	2	1	3	590
0.812456	2	1	3	590
0.812506	2	1	3	590
0.812556	2	1	3	590
0.812607	2	1	3	590
0.812657	2	1	3	590
0.812708	2	1	3	590
0.812758	2	1	3	590
0.812808	2	1	3	590
0.812893	2	1	3	590
0.812943	2	1	3	590
0.812994	2	1	3	590
0.813044	2	1	3	590
0.813095	2	1	3	590
0.813145	2	1	3	590
0.813195	2	1	3	590
0.813246	2	1	3	590
0.813331	2	1	3	590
0.813381	2	1	3	590
0.813431	2	1	3	590
0.813482	2	1	3	590
0.813532	2	1	3	590
0.813583	2	1	3	590
0.813633	2	1	3	590
0.813683	2	1	3	590
0.813768	2	1	3	590
0.813818	2	1	3	590
0.813869	2	1	3	590
0.813919	2	1	3	590
0.81397	2	1	3	590
0.81402	2	1	3	590
0.81407	2	1	3	590
0.814121	2	1	3	590
0.814171	2	1	3	590
0.814222	2	1	3	590
0.814272	2	1	3	590
0.814322	2	1	3	590
0.814456	2	1	3	590
0.814506	2	1	3	590
0.814556	2	1	3	590
0.814607	2	1	3	590
0.814893	2	1	3	590
0.814943	2	1	3	590
0.814994	2	1	3	590
0.815044	2	1	3	590
0.815095	2	1	3	590
0.815145	2	1	3	590
0.815195	2	1	3	590
0.815246	2	1	3	590
0.815331	2	1	3	590
0.815381	2	1	3	590
0.815431	2	1	3	590
0.815482	2	1	3	590
0.902268	2	1	3	590
0.902318	2	1	3	590
0.902369	2	1	3	590
0.902419	2	1	3	590
0.902706	2	1	3	590
0.902756	2	1	3	590
0.902806	2	1	3	590
0.902857	2	1	3	590
0.902907	2	1	3	590
0.902958	2	1	3	590
0.903008	2	1	3	590
0.903058	2	1	3	590
0.903143	2	1	3	590
0.903193	2	1	3	590
0.903244	2	1	3	590
0.903294	2	1	3	590
0.903345	2	1	3	590
0.903395	2	1	3	590
0.903445	2	1	3	590
0.903496	2	1	3	590
0.903546	2	1	3	590
0.903597	2	1	3	590
0.903647	2	1	3	590
0.903697	2	1	3	590
0.903748	2	1	3	590
0.903798	2	1	3	590
0.903849	2	1	3	590
0.903899	2	1	3	590
0.903949	2	1	3	590
0.904	2	1	3	590
0.90405	2	1	3	590
0.904101	2	1	3	590
0.904151	2	1	3	590
0.904201	2	1	3	590
0.904252	2	1	3	590
0.904302	2	1	3	590
0.904353	2	1	3	590
0.904403	2	1	3	590
0.904453	2	1	3	590
0.904504	2	1	3	590
0.904554	2	1	3	590
0.904605	2	1	3	590
0.904655	2	1	3	590
0.904705	2	1	3	590
0.904756	2	1	3	590
0.904806	2	1	3	590
0.904857	2	1	3	590
0.904907	2	1	3	590
0.904957	2	1	3	590
0.905008	2	1	3	590
0.905058	2	1	3	590
0.905109	2	1	3	590
0.905159	2	1	3	590
0.905209	2	1	3	590
0.90526	2	1	3	590
0.90531	2	1	3	590
0.905361	2	1	3	590
0.905411	2	1	3	590
0.905461	2	1	3	590
0.905512	2	1	3	590
0.905562	2	1	3	590
0.905613	2	1	3	590
0.905663	2	1	3	590
0.905713	2	1	3	590
0.905764	2	1	3	590
0.905814	2	1	3	590
0.905865	2	1	3	590
0.905915	2	1	3	590
0.905965	2	1	3	590
0.906016	2	1	3	590
0.906066	2	1	3	590
0.906117	2	1	3	590
0.906167	2	1	3	590
0.906217	2	1	3	590
0.906268	2	1	3	590
