time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.445346	2	1	3	36	0.000283031
0.445395	2	1	3	25	0.000269639
0.445435	2	1	3	3	0.000247319
0.536484	2	1	3	56	0.000233927
0.538189	2	1	3	592	0.000251783
0.538252	2	1	3	592	0.000251783
0.538314	2	1	3	592	0.000251783
0.538372	2	1	3	448	0.000247319
0.539814	2	1	3	592	0.000251783
0.539877	2	1	3	592	0.000251783
0.539957	2	1	3	1040	0.000269639
0.541462	2	1	3	1184	0.000274103
0.629252	2	1	3	592	0.000251783
0.629314	2	1	3	592	0.000251783
0.629689	2	1	3	592	0.000251783
0.629774	2	1	3	1184	0.000274103
0.629814	2	1	3	592	0.000251783
0.630877	2	1	3	592	0.000251783
0.630962	2	1	3	1184	0.000274103
0.631314	2	1	3	592	0.000251783
0.631399	2	1	3	1184	0.000274103
0.631439	2	1	3	592	0.000251783
0.632502	2	1	3	592	0.000251783
0.632587	2	1	3	1184	0.000274103
0.632627	2	1	3	592	0.000251783
0.720314	2	1	3	592	0.000251783
0.720399	2	1	3	1184	0.000274103
0.720439	2	1	3	592	0.000251783
0.720752	2	1	3	592	0.000251783
0.720837	2	1	3	1184	0.000274103
0.720877	2	1	3	592	0.000251783
0.721189	2	1	3	592	0.000251783
0.721274	2	1	3	1184	0.000274103
0.721314	2	1	3	592	0.000251783
0.721939	2	1	3	592	0.000251783
0.722024	2	1	3	1184	0.000274103
0.722064	2	1	3	592	0.000251783
0.722377	2	1	3	592	0.000251783
0.722462	2	1	3	1184	0.000274103
0.722502	2	1	3	592	0.000251783
0.722564	2	1	3	592	0.000251783
0.722627	2	1	3	592	0.000251783
0.722712	2	1	3	1184	0.000274103
0.722814	2	1	3	592	0.000251783
0.722899	2	1	3	1184	0.000274103
0.722939	2	1	3	592	0.000251783
0.723627	2	1	3	592	0.000251783
0.723712	2	1	3	1184	0.000274103
0.723752	2	1	3	592	0.000251783
0.724064	2	1	3	592	0.000251783
0.724149	2	1	3	1184	0.000274103
0.724189	2	1	3	592	0.000251783
0.811439	2	1	3	592	0.000251783
0.811524	2	1	3	1184	0.000274103
0.811564	2	1	3	592	0.000251783
0.811877	2	1	3	592	0.000251783
0.811962	2	1	3	1184	0.000274103
0.812002	2	1	3	592	0.000251783
0.812064	2	1	3	592	0.000251783
0.812127	2	1	3	592	0.000251783
0.812212	2	1	3	1184	0.000274103
0.812314	2	1	3	592	0.000251783
