time(s)	cellId	rnti	lcid	packetSize
0.445063	2	1	3	36
0.445125	2	1	3	25
0.445188	2	1	3	3
0.53625	2	1	3	56
0.537937	2	1	3	592
0.538	2	1	3	592
0.538062	2	1	3	592
0.538125	2	1	3	448
0.539562	2	1	3	592
0.539625	2	1	3	592
0.539687	2	1	3	1040
0.541188	2	1	3	1184
0.629	2	1	3	592
0.629062	2	1	3	592
0.629437	2	1	3	592
0.6295	2	1	3	1184
0.629563	2	1	3	592
0.630625	2	1	3	592
0.630687	2	1	3	1184
0.631062	2	1	3	592
0.631125	2	1	3	1184
0.631188	2	1	3	592
0.63225	2	1	3	592
0.632313	2	1	3	1184
0.632375	2	1	3	592
0.720063	2	1	3	592
0.720125	2	1	3	1184
0.720187	2	1	3	592
0.7205	2	1	3	592
0.720562	2	1	3	1184
0.720625	2	1	3	592
0.720938	2	1	3	592
0.721	2	1	3	1184
0.721063	2	1	3	592
0.721688	2	1	3	592
0.72175	2	1	3	1184
0.721812	2	1	3	592
0.722125	2	1	3	592
0.722187	2	1	3	1184
0.72225	2	1	3	592
0.722313	2	1	3	592
0.722375	2	1	3	592
0.722437	2	1	3	1184
0.722562	2	1	3	592
0.722625	2	1	3	1184
0.722688	2	1	3	592
0.723375	2	1	3	592
0.723437	2	1	3	1184
0.7235	2	1	3	592
0.723812	2	1	3	592
0.723875	2	1	3	1184
0.723938	2	1	3	592
0.811187	2	1	3	592
0.81125	2	1	3	1184
0.811312	2	1	3	592
0.811625	2	1	3	592
0.811688	2	1	3	1184
0.81175	2	1	3	592
0.811813	2	1	3	592
0.811875	2	1	3	592
0.811937	2	1	3	1184
0.812063	2	1	3	592
0.812125	2	1	3	1184
0.812187	2	1	3	592
0.81225	2	1	3	592
0.812312	2	1	3	592
0.812375	2	1	3	1184
0.8125	2	1	3	592
0.812562	2	1	3	1184
0.812625	2	1	3	592
0.812688	2	1	3	592
0.81275	2	1	3	592
0.812813	2	1	3	1184
0.812937	2	1	3	592
0.813	2	1	3	1184
0.813063	2	1	3	592
0.813125	2	1	3	592
0.813187	2	1	3	592
0.81325	2	1	3	1184
0.813375	2	1	3	592
0.813438	2	1	3	1184
0.8135	2	1	3	592
0.813562	2	1	3	592
0.813625	2	1	3	592
0.813688	2	1	3	1184
0.813813	2	1	3	592
0.813875	2	1	3	1184
0.813937	2	1	3	592
0.814	2	1	3	592
0.814063	2	1	3	592
0.814125	2	1	3	1184
0.814187	2	1	3	592
0.81425	2	1	3	592
0.814312	2	1	3	592
0.814375	2	1	3	592
0.8145	2	1	3	592
0.814562	2	1	3	1184
0.814625	2	1	3	592
0.814937	2	1	3	592
0.815	2	1	3	1184
0.815063	2	1	3	592
0.815125	2	1	3	592
0.815187	2	1	3	592
0.81525	2	1	3	1184
0.815375	2	1	3	592
0.815438	2	1	3	1184
0.8155	2	1	3	592
0.902312	2	1	3	592
0.902375	2	1	3	1184
0.902438	2	1	3	592
0.90275	2	1	3	592
0.902813	2	1	3	1184
0.902875	2	1	3	592
0.902937	2	1	3	592
0.903	2	1	3	592
0.903062	2	1	3	1184
0.903188	2	1	3	592
0.90325	2	1	3	1184
0.903312	2	1	3	592
0.903375	2	1	3	592
0.903438	2	1	3	592
0.9035	2	1	3	1184
0.903563	2	1	3	592
0.903625	2	1	3	592
0.903687	2	1	3	592
0.90375	2	1	3	1184
0.903813	2	1	3	592
0.903875	2	1	3	592
0.903937	2	1	3	592
0.904	2	1	3	1184
0.904062	2	1	3	592
0.904125	2	1	3	592
0.904188	2	1	3	592
0.90425	2	1	3	592
0.904312	2	1	3	1184
0.904375	2	1	3	592
0.904438	2	1	3	592
0.9045	2	1	3	592
0.904563	2	1	3	1184
0.904625	2	1	3	592
0.904687	2	1	3	592
0.90475	2	1	3	592
0.904813	2	1	3	1086
0.904875	2	1	3	692
0.904937	2	1	3	592
0.905	2	1	3	592
0.905062	2	1	3	1184
0.905125	2	1	3	592
0.905188	2	1	3	592
0.90525	2	1	3	592
0.905312	2	1	3	1184
0.905375	2	1	3	592
0.905438	2	1	3	592
0.9055	2	1	3	592
0.905563	2	1	3	1184
0.905625	2	1	3	592
0.905687	2	1	3	592
0.90575	2	1	3	592
0.905813	2	1	3	592
0.905875	2	1	3	1184
0.905937	2	1	3	592
0.906	2	1	3	592
0.906062	2	1	3	592
0.906125	2	1	3	1184
0.906188	2	1	3	592
0.90625	2	1	3	592
0.906312	2	1	3	592
0.906375	2	1	3	1184
0.906438	2	1	3	592
0.9065	2	1	3	592
0.906563	2	1	3	592
0.906625	2	1	3	1184
0.906687	2	1	3	592
0.90675	2	1	3	592
0.906813	2	1	3	592
0.906875	2	1	3	1184
0.906937	2	1	3	592
0.907	2	1	3	592
0.907062	2	1	3	592
0.907125	2	1	3	1184
0.907188	2	1	3	592
0.90725	2	1	3	592
0.907312	2	1	3	592
0.907375	2	1	3	592
0.907438	2	1	3	1184
0.9075	2	1	3	592
0.907563	2	1	3	592
0.907625	2	1	3	592
0.907687	2	1	3	1184
0.90775	2	1	3	592
0.907813	2	1	3	592
0.907875	2	1	3	592
0.907937	2	1	3	1184
0.908	2	1	3	592
0.908062	2	1	3	592
0.908125	2	1	3	592
0.908188	2	1	3	1184
0.90825	2	1	3	592
0.908312	2	1	3	592
0.908375	2	1	3	592
0.908438	2	1	3	1184
0.9085	2	1	3	592
0.908563	2	1	3	592
0.908625	2	1	3	592
0.908687	2	1	3	1184
0.90875	2	1	3	592
0.908813	2	1	3	592
0.908875	2	1	3	592
0.908937	2	1	3	592
0.909	2	1	3	1184
0.909062	2	1	3	592
0.909125	2	1	3	592
0.909188	2	1	3	592
0.90925	2	1	3	1184
0.909312	2	1	3	592
0.909375	2	1	3	592
0.909438	2	1	3	592
0.9095	2	1	3	1184
0.909563	2	1	3	592
0.909625	2	1	3	592
0.909687	2	1	3	592
0.90975	2	1	3	1184
0.9935	2	1	3	592
0.993563	2	1	3	1184
0.993625	2	1	3	592
0.993938	2	1	3	592
0.994	2	1	3	1184
0.994062	2	1	3	592
0.994125	2	1	3	592
0.994188	2	1	3	592
0.99425	2	1	3	1184
0.994375	2	1	3	592
0.994437	2	1	3	1184
0.9945	2	1	3	592
0.994563	2	1	3	592
0.994625	2	1	3	592
0.994687	2	1	3	1184
0.99475	2	1	3	592
0.994812	2	1	3	592
0.994875	2	1	3	592
0.994938	2	1	3	1184
0.995	2	1	3	592
0.995062	2	1	3	592
0.995125	2	1	3	592
0.995188	2	1	3	1184
0.99525	2	1	3	592
0.995313	2	1	3	592
0.995375	2	1	3	592
0.995437	2	1	3	592
0.9955	2	1	3	1184
0.995563	2	1	3	592
0.995625	2	1	3	592
0.995687	2	1	3	592
0.99575	2	1	3	1184
0.995812	2	1	3	592
0.995875	2	1	3	592
0.995938	2	1	3	592
0.996	2	1	3	1184
0.996062	2	1	3	592
0.996125	2	1	3	592
0.996188	2	1	3	592
0.99625	2	1	3	1184
0.996313	2	1	3	592
0.996375	2	1	3	592
0.996437	2	1	3	592
0.9965	2	1	3	1184
0.996563	2	1	3	592
0.996625	2	1	3	592
0.996687	2	1	3	592
0.99675	2	1	3	1184
0.996812	2	1	3	592
0.996875	2	1	3	592
0.996938	2	1	3	592
0.997	2	1	3	592
0.997062	2	1	3	1184
0.997125	2	1	3	592
0.997188	2	1	3	592
0.99725	2	1	3	592
0.997313	2	1	3	1184
0.997375	2	1	3	592
0.997437	2	1	3	592
0.9975	2	1	3	592
0.997563	2	1	3	1184
0.997625	2	1	3	592
0.997687	2	1	3	592
0.99775	2	1	3	592
0.997812	2	1	3	1184
0.997875	2	1	3	592
0.997938	2	1	3	592
0.998	2	1	3	592
0.998062	2	1	3	1184
0.998125	2	1	3	592
0.998188	2	1	3	592
0.99825	2	1	3	592
0.998313	2	1	3	1184
0.998375	2	1	3	592
0.998437	2	1	3	592
0.9985	2	1	3	592
0.998563	2	1	3	592
0.998625	2	1	3	1184
0.998687	2	1	3	592
0.99875	2	1	3	592
0.998812	2	1	3	592
0.998875	2	1	3	1184
0.998938	2	1	3	592
0.999	2	1	3	592
0.999062	2	1	3	1112
0.999125	2	1	3	592
0.999188	2	1	3	592
0.99925	2	1	3	448
0.999313	2	1	3	1184
0.999375	2	1	3	592
0.999437	2	1	3	448
1.00038	2	1	3	592
1.00044	2	1	3	1184
1.0005	2	1	3	448
1.00194	2	1	3	592
1.002	2	1	3	592
1.00206	2	1	3	592
1.00212	2	1	3	448
1.00356	2	1	3	592
1.00362	2	1	3	592
1.00369	2	1	3	1040
1.00519	2	1	3	1184
1.00525	2	1	3	592
1.00531	2	1	3	448
1.00675	2	1	3	592
1.00681	2	1	3	592
1.00687	2	1	3	1040
1.00838	2	1	3	592
1.00844	2	1	3	1184
1.0085	2	1	3	448
1.00994	2	1	3	592
1.01	2	1	3	592
1.01006	2	1	3	592
1.01012	2	1	3	448
1.01156	2	1	3	592
1.01162	2	1	3	592
1.01169	2	1	3	1040
1.01319	2	1	3	1184
1.01325	2	1	3	592
1.01331	2	1	3	448
1.01475	2	1	3	592
1.01481	2	1	3	592
1.01487	2	1	3	1040
1.01638	2	1	3	592
1.01644	2	1	3	1184
1.0165	2	1	3	448
1.01794	2	1	3	592
1.018	2	1	3	592
1.01806	2	1	3	592
1.01812	2	1	3	448
1.01956	2	1	3	592
1.01963	2	1	3	592
1.01969	2	1	3	1040
1.02119	2	1	3	1184
1.02125	2	1	3	592
1.02131	2	1	3	448
1.02275	2	1	3	592
1.02281	2	1	3	592
1.02287	2	1	3	1040
1.02438	2	1	3	592
1.02444	2	1	3	1184
1.0245	2	1	3	448
1.02594	2	1	3	592
1.026	2	1	3	592
1.02606	2	1	3	592
1.02612	2	1	3	448
1.02756	2	1	3	592
1.02763	2	1	3	592
1.02769	2	1	3	1040
1.02919	2	1	3	1184
1.02925	2	1	3	592
1.02931	2	1	3	448
1.03075	2	1	3	592
1.03081	2	1	3	592
1.03087	2	1	3	1040
1.03238	2	1	3	592
1.03244	2	1	3	1184
1.0325	2	1	3	448
1.03394	2	1	3	592
1.034	2	1	3	592
1.03406	2	1	3	592
1.03412	2	1	3	448
1.03556	2	1	3	592
1.03563	2	1	3	592
1.03569	2	1	3	1040
1.03719	2	1	3	1184
1.03725	2	1	3	592
1.03731	2	1	3	448
1.03875	2	1	3	592
1.03881	2	1	3	592
1.03887	2	1	3	1040
1.04038	2	1	3	592
1.04044	2	1	3	1184
1.0405	2	1	3	448
1.04194	2	1	3	592
1.042	2	1	3	592
1.04206	2	1	3	592
1.04212	2	1	3	448
1.04356	2	1	3	592
1.04363	2	1	3	592
1.04369	2	1	3	1040
1.04519	2	1	3	1184
1.04525	2	1	3	592
1.04531	2	1	3	448
1.04675	2	1	3	592
1.04681	2	1	3	592
1.04688	2	1	3	1040
1.04838	2	1	3	592
1.04844	2	1	3	1184
1.0485	2	1	3	448
1.04994	2	1	3	592
1.05	2	1	3	592
1.05006	2	1	3	592
1.05012	2	1	3	448
1.05156	2	1	3	592
1.05163	2	1	3	592
1.05169	2	1	3	1040
1.05319	2	1	3	1184
1.05325	2	1	3	592
1.05331	2	1	3	448
1.05475	2	1	3	592
1.05481	2	1	3	592
1.05488	2	1	3	1040
1.08519	2	1	3	1184
1.08525	2	1	3	592
1.08531	2	1	3	448
1.08675	2	1	3	592
1.08681	2	1	3	592
1.08688	2	1	3	1040
1.08838	2	1	3	592
1.08844	2	1	3	1184
1.0885	2	1	3	448
1.08994	2	1	3	592
1.09	2	1	3	592
1.09006	2	1	3	592
1.09013	2	1	3	448
1.09156	2	1	3	592
1.09163	2	1	3	592
1.09169	2	1	3	1040
1.09319	2	1	3	1184
1.09325	2	1	3	592
1.09331	2	1	3	448
1.09475	2	1	3	592
1.09481	2	1	3	592
1.09488	2	1	3	1040
1.09638	2	1	3	592
1.09644	2	1	3	1184
1.0965	2	1	3	448
1.09794	2	1	3	592
1.098	2	1	3	592
1.09806	2	1	3	592
1.09813	2	1	3	448
1.09956	2	1	3	592
1.09963	2	1	3	592
1.09969	2	1	3	1040
1.10119	2	1	3	1184
1.10125	2	1	3	592
1.10131	2	1	3	448
1.10275	2	1	3	592
1.10281	2	1	3	592
1.10288	2	1	3	1040
1.10438	2	1	3	592
1.10444	2	1	3	1184
1.1045	2	1	3	448
1.10594	2	1	3	592
1.106	2	1	3	592
1.10606	2	1	3	592
1.10613	2	1	3	448
1.10756	2	1	3	592
1.10763	2	1	3	592
1.10769	2	1	3	1040
1.10919	2	1	3	1184
1.10925	2	1	3	592
1.10931	2	1	3	448
1.11075	2	1	3	592
1.11081	2	1	3	592
1.11088	2	1	3	1040
1.11237	2	1	3	592
1.11244	2	1	3	1184
1.1125	2	1	3	448
1.11394	2	1	3	592
1.114	2	1	3	592
1.11406	2	1	3	592
1.11413	2	1	3	448
1.11556	2	1	3	592
1.11563	2	1	3	592
1.11569	2	1	3	1040
1.11719	2	1	3	1184
1.11725	2	1	3	592
1.11731	2	1	3	448
1.11875	2	1	3	592
1.11881	2	1	3	592
1.11888	2	1	3	1040
1.12037	2	1	3	592
1.12044	2	1	3	1184
1.1205	2	1	3	448
1.12194	2	1	3	592
1.122	2	1	3	592
1.12206	2	1	3	592
1.12213	2	1	3	448
1.12356	2	1	3	592
1.12363	2	1	3	592
1.12369	2	1	3	1040
1.12519	2	1	3	1184
1.12525	2	1	3	592
1.12531	2	1	3	448
1.12675	2	1	3	592
1.12681	2	1	3	592
1.12688	2	1	3	1040
1.12837	2	1	3	592
1.12844	2	1	3	1184
1.1285	2	1	3	448
1.12994	2	1	3	592
1.13	2	1	3	592
1.13006	2	1	3	592
1.13013	2	1	3	448
1.13156	2	1	3	592
1.13163	2	1	3	592
1.13169	2	1	3	1040
1.13319	2	1	3	1184
1.13325	2	1	3	592
1.13331	2	1	3	448
1.13475	2	1	3	592
1.13481	2	1	3	592
1.13488	2	1	3	1040
1.13637	2	1	3	592
1.13644	2	1	3	1184
1.1365	2	1	3	448
1.13794	2	1	3	592
1.138	2	1	3	592
1.13806	2	1	3	592
1.13813	2	1	3	448
1.13956	2	1	3	592
1.13963	2	1	3	592
1.13969	2	1	3	1040
1.14119	2	1	3	1184
1.14125	2	1	3	592
1.14131	2	1	3	448
1.14275	2	1	3	592
1.14281	2	1	3	592
1.14288	2	1	3	1040
1.14437	2	1	3	592
1.14444	2	1	3	1184
1.1445	2	1	3	448
1.14594	2	1	3	592
1.146	2	1	3	592
1.14606	2	1	3	592
